Demolition_Key,IBMS Address,Address of Existing Rental Building,RH File Number,City Council Approval Date,Link to Staff Report,Type,Affordable Rental Homes for Demolition,Mid-Range Rental Homes for Demolition,High-End Rental Homes for Demolition,Affordable Rental Homes Replaced,Mid-Range Rental Homes Replaced,High-End Rental Homes Replaced,Coordinates,Approval_Date_Key
1,75 Mutual St,"75, 77, 83 MUTUAL ST",14 183555 STE 27 RH,2017-01-31,Final Staff Report,Demolition - 6 Rental Units or More ,0,0,0,21,1,0,POINT (-79.375132 43.656025),6330
2,1996 Bathurst St,"1996, 1998 and 2000 Bathurst Street",15 270570 STE 21 RH,2017-03-09,Final Staff Report,Demolition - 6 Rental Units or More ,61,1,0,61,1,0,POINT (-79.4252 43.699129),6367
3,125 Parliament St,125 Parliament Street and 50 Power Street,13 181698 STE 28 RH,2017-05-24,Final Staff Report,Demolition - 6 Rental Units or More ,12,3,0,12,3,0,POINT (-79.363566 43.654132),6443
4,480 Yonge St,"3 Grosvenor Street (492-494 Yonge Street), 484-488 Yonge Street, 480-482 Yonge Street",14 267359 STE 27 RH,2017-05-24,Final Staff Report,Demolition - 6 Rental Units or More ,15,6,5,15,6,5,POINT (-79.383951 43.662533),6443
5,30 Erskine Ave,30 Erskine Avenue,13 116882 NNY 25 RH,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More ,0,6,0,0,6,0,POINT (-79.398335 43.711542),6484
6,59 Mutual St,"59, 63, 65, 67, 69 and 71 Mutual Street",16 101809 STE 27 RH,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More ,7,4,1,7,4,1,POINT (-79.374912 43.655658),6484
7,703 Soudan Ave,"1674 Bayview Avenue, 703 and 707 Soudan Avenue, and 1680, 1682 and 1684 Bayview Avenue",14 227490 STE 22 RH,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More ,14,21,3,14,21,3,POINT (-79.376791 43.708431),6484
8,40 Moccasin Trl,"50 and 60 Green Belt Drive, and 40 Moccasin Trail",13 173075 NNY 34 RH,2017-07-04,Final Staff Report,Demolition - 6 Rental Units or More ,59,24,0,43,24,0,POINT (-79.337043 43.730478),6484
9,2525 Bathurst St,2525 Bathurst Street,16 152046 NNY 16 RH,2017-10-02,Final Staff Report,Demolition - 6 Rental Units or More ,6,26,1,6,26,1,POINT (-79.426107 43.706021),6574
10,650 Kingston Rd,650-652 Kingston Road and 2 Main Street,15 215445 STE 32 RH,2017-11-07,Final Staff Report,Demolition - 6 Rental Units or More ,7,4,0,7,4,0,POINT (-79.298698 43.678956),6610
11,263 Adelaide St W,263-267 Adelaide Stret West,12 152672 STE 20 RH,2017-11-07,Final Staff Report,Demolition - 6 Rental Units or More ,3,6,3,3,6,3,POINT (-79.38948 43.647842),6610
12,85 Broadway Ave,"85, 87, 89 and 91 Broadway Avenue and 198 Redpath Avenue",16 262583 STE 22 RH,2018-01-31,Final Staff Report,Demolition - 6 Rental Units or More ,3,6,0,3,6,0,POINT (-79.394284 43.710305),6695
13,289 The Kingsway,"291 The Kingsway and 1, 3, 5 and 7 St. Stevens Court",13 164266 WET 04 RH,2018-04-24,Final Staff Report,Demolition - 6 Rental Units or More ,108,48,0,108,48,0,POINT (-79.519539 43.663199),6778
14,174 Broadway Ave,"174, 176, 178 and 180 Broadway Avenue",17 257562 NNY 25 RH,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More ,0,0,8,0,0,8,POINT (-79.390748 43.711405),6868
15,90 Eastdale Ave,2 Secord Avenue,15 226605 STE 31 RH,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More ,10,12,0,10,18,0,POINT (-79.30125 43.694611),6868
16,65 Broadway Ave,55 and 65 Broadway Avenue,16 118650 STE 22 RH,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More ,25,105,0,25,105,0,POINT (-79.39528 43.709926),6868
17,2978 Dundas St W,"2978-2980 (406-408 Pacific Avenue), 2984, and 2986 Dundas Street West ",16 137349 WET 13 RH,2018-07-23,Final Staff Report,Demolition - 6 Rental Units or More ,4,3,0,4,3,0,POINT (-79.468833 43.665752),6868
18,871 Sheppard Ave W,"847, 849, 851, 853, 855, 857, 859, 861, 863, 865, 867, 869, 871 and 873 Sheppard Avenue West",17 107822 NNY 10 RH,2019-01-30,Final Staff Report,Demolition - 6 Rental Units or More ,5,2,0,5,2,0,POINT (-79.454563 43.751895),7059
19,3636 Bathurst St,3636 Bathurst Street,14 226863 NNY 15 RH,2019-01-30,Final Staff Report,Demolition - 6 Rental Units or More ,2,4,0,2,4,0,POINT (-79.4333 43.732871),7059
20,4125 Dundas St W,4125 & 4127-4129 Dundas Street West,16 110555 WET 05 RH,2019-02-26,Final Staff Report,Demolition - 6 Rental Units or More ,9,3,0,9,3,0,POINT (-79.506919 43.661561),7086
21,77 Clarendon Ave,77 Clarendon Avenue,15 202796 STE 22 RH,2019-02-26,Final Staff Report,Demolition - 6 Rental Units or More ,0,0,10,0,0,0,POINT (-79.406036 43.682365),7086
22,545 Sherbourne St,"595 Sherbourne Street and 583, 591, 599 Sherbourne St",15 206979 STE 28 RH,2019-03-27,Final Staff Report,Demolition - 6 Rental Units or More ,20,4,0,20,4,0,POINT (-79.374836 43.668512),7115
23,170 Spadina Ave,"3, 5 and 7 Cameron Street",16 118053 STE 20 RH,2019-05-14,Final Staff Report,Demolition - 6 Rental Units or More ,4,4,2,4,4,2,POINT (-79.396901 43.649122),7163
