Ethnocultural_Key,Ethnoculture
ETH268,Other Asian origins
ETH269,"Other Asian origins, n.i.e."
ETH270,Oceania origins
ETH271,Australian
ETH272,New Zealander
ETH273,Pacific Islands origins
ETH274,Fijian
ETH275,Hawaiian
ETH276,Maori
ETH277,Samoan
ETH278,"Polynesian, n.o.s."
ETH279,"Pacific Islands origins, n.i.e."
ETH280,Total Ethnic Origin
ETH281,North American Aboriginal origins
ETH282,First Nations (North American Indian)
ETH283,Inuit
ETH284,Métis
ETH285,Other North American origins
ETH286,Acadian
ETH287,American
ETH288,Canadian
ETH289,New Brunswicker
ETH290,Newfoundlander
ETH291,Nova Scotian
ETH292,Ontarian
ETH293,Québécois
ETH294,"Other North American origins, n.i.e."
ETH295,European origins
ETH296,British Isles origins
ETH297,Channel Islander
ETH298,Cornish
ETH299,English
ETH300,Irish
ETH301,Manx
ETH302,Scottish
ETH303,Welsh
ETH304,"British Isles origins, n.i.e."
ETH305,French origins
ETH306,Alsatian
ETH307,Breton
ETH308,Corsican
ETH309,French
ETH310,Western European origins (except French origins)
ETH311,Austrian
ETH312,Bavarian
ETH313,Belgian
ETH314,Dutch
ETH315,Flemish
ETH316,Frisian
ETH317,German
ETH318,Luxembourger
ETH319,Swiss
ETH320,"Western European origins, n.i.e."
ETH321,Northern European origins (except British Isles origins)
ETH322,Danish
ETH323,Finnish
ETH324,Icelandic
ETH325,Norwegian
ETH326,Swedish
ETH327,"Northern European origins, n.i.e."
ETH328,Eastern European origins
ETH329,Bulgarian
ETH330,Byelorussian
ETH331,Czech
ETH332,"Czechoslovakian, n.o.s."
ETH333,Estonian
ETH334,Hungarian
ETH335,Latvian
ETH336,Lithuanian
ETH337,Moldovan
ETH338,Polish
ETH339,Romanian
ETH340,Russian
ETH341,Slovak
ETH342,Ukrainian
ETH343,"Eastern European origins, n.i.e."
ETH344,Southern European origins
ETH345,Albanian
ETH346,Bosnian
ETH347,Catalan
ETH348,Croatian
ETH349,Cypriot
ETH350,Greek
ETH351,Italian
ETH352,Kosovar
ETH353,Macedonian
ETH354,Maltese
ETH355,Montenegrin
ETH356,Portuguese
ETH357,Serbian
ETH358,Sicilian
ETH359,Slovenian
ETH360,Spanish
ETH361,"Yugoslavian, n.o.s."
ETH362,"Southern European origins, n.i.e."
ETH363,Other European origins
ETH364,Basque
ETH365,Jewish
ETH366,Roma (Gypsy)
ETH367,"Slavic, n.o.s."
ETH368,"Other European origins, n.i.e."
ETH369,Caribbean origins
ETH370,Antiguan
ETH371,Bahamian
ETH372,Barbadian
ETH373,Bermudan
ETH374,Carib
ETH375,Cuban
ETH376,Dominican
ETH377,Grenadian
ETH378,Guadeloupean
ETH379,Haitian
ETH380,Jamaican
ETH381,Kittitian/Nevisian
ETH382,Martinican
ETH383,Montserratan
ETH384,Puerto Rican
ETH385,St. Lucian
ETH386,Trinidadian/Tobagonian
ETH387,Vincentian/Grenadinian
ETH388,"West Indian, n.o.s."
ETH389,"Caribbean origins, n.i.e."
ETH390,"Latin, Central and South American origins"
ETH391,Aboriginal from Central/South America (except Arawak and Maya)
ETH392,Arawak
ETH393,Argentinian
ETH394,Belizean
ETH395,Bolivian
ETH396,Brazilian
ETH397,Chilean
ETH398,Colombian
ETH399,Costa Rican
ETH400,Ecuadorian
ETH401,Guatemalan
ETH402,Guyanese
ETH403,Hispanic
ETH404,Honduran
ETH405,Maya
ETH406,Mexican
ETH407,Nicaraguan
ETH408,Panamanian
ETH409,Paraguayan
ETH410,Peruvian
ETH411,Salvadorean
ETH412,Uruguayan
ETH413,Venezuelan
ETH414,"Latin, Central and South American origins, n.i.e."
ETH415,African origins
ETH416,Central and West African origins
ETH417,Akan
ETH418,Angolan
ETH419,Ashanti
ETH420,Beninese
ETH421,Burkinabe
ETH422,Cameroonian
ETH423,Chadian
ETH424,Congolese
ETH425,Edo
ETH426,Ewe
ETH427,Gabonese
ETH428,Gambian
ETH429,Ghanaian
ETH430,Guinean
ETH431,Ibo
ETH432,Ivorian
ETH433,Liberian
ETH434,Malian
ETH435,Malinké
ETH436,Nigerian
ETH437,Peulh
ETH438,Senegalese
ETH439,Sierra Leonean
ETH440,Togolese
ETH441,Wolof
ETH442,Yoruba
ETH443,"Central and West African origins, n.i.e."
ETH444,North African origins
ETH445,Algerian
ETH446,Berber
ETH447,Coptic
ETH448,Dinka
ETH449,Egyptian
ETH450,Libyan
ETH451,Maure
ETH452,Moroccan
ETH453,Sudanese
ETH454,Tunisian
ETH455,"North African origins, n.i.e."
ETH456,Southern and East African origins
ETH457,Afrikaner
ETH458,Amhara
ETH459,"Bantu, n.o.s."
ETH460,Burundian
ETH461,Djiboutian
ETH462,Eritrean
ETH463,Ethiopian
ETH464,Harari
ETH465,Kenyan
ETH466,Malagasy
ETH467,Mauritian
ETH468,Oromo
ETH469,Rwandan
ETH470,Seychellois
ETH471,Somali
ETH472,South African
ETH473,Tanzanian
ETH474,Tigrian
ETH475,Ugandan
ETH476,Zambian
ETH477,Zimbabwean
ETH478,Zulu
ETH479,"Southern and East African origins, n.i.e."
ETH480,Other African origins
ETH481,"Black, n.o.s."
ETH482,"Other African origins, n.i.e."
ETH483,Asian origins
ETH484,West Central Asian and Middle Eastern origins
ETH485,Afghan
ETH486,"Arab, n.o.s."
ETH487,Armenian
ETH488,Assyrian
ETH489,Azerbaijani
ETH490,Georgian
ETH491,Hazara
ETH492,Iranian
ETH493,Iraqi
ETH494,Israeli
ETH495,Jordanian
ETH496,Kazakh
ETH497,Kurd
ETH498,Kuwaiti
ETH499,Kyrgyz
ETH500,Lebanese
ETH501,Palestinian
ETH502,Pashtun
ETH503,Saudi Arabian
ETH504,Syrian
ETH505,Tajik
ETH506,Tatar
ETH507,Turk
ETH508,Turkmen
ETH509,Uighur
ETH510,Uzbek
ETH511,Yemeni
ETH512,"West Central Asian and Middle Eastern origins, n.i.e."
ETH513,South Asian origins
ETH514,Bangladeshi
ETH515,Bengali
ETH516,Bhutanese
ETH517,East Indian
ETH518,Goan
ETH519,Gujarati
ETH520,Kashmiri
ETH521,Nepali
ETH522,Pakistani
ETH523,Punjabi
ETH524,Sinhalese
ETH525,Sri Lankan
ETH526,Tamil
ETH527,"South Asian origins, n.i.e."
ETH528,East and Southeast Asian origins
ETH529,Burmese
ETH530,Cambodian (Khmer)
ETH531,Chinese
ETH532,Filipino
ETH533,Hmong
ETH534,Indonesian
ETH535,Japanese
ETH536,Karen
ETH537,Korean
ETH538,Laotian
ETH539,Malaysian
ETH540,Mongolian
ETH541,Singaporean
ETH542,Taiwanese
ETH543,Thai
ETH544,Tibetan
ETH545,Vietnamese
ETH546,"East and Southeast Asian origins, n.i.e."
ETH547,Other Asian origins
ETH548,"Other Asian origins, n.i.e."
ETH549,Oceania origins
ETH550,Australian
ETH551,New Zealander
ETH552,Pacific Islands origins
ETH553,Fijian
ETH554,Hawaiian
ETH555,Maori
ETH556,Samoan
ETH557,"Polynesian, n.o.s."
ETH558,"Pacific Islands origins, n.i.e."
ETH559,Total Ethnic Origin
ETH560,North American Aboriginal origins
ETH561,First Nations (North American Indian)
ETH562,Inuit
ETH563,Métis
ETH564,Other North American origins
ETH565,Acadian
ETH566,American
ETH567,Canadian
ETH568,New Brunswicker
ETH569,Newfoundlander
ETH570,Nova Scotian
ETH571,Ontarian
ETH572,Québécois
ETH573,"Other North American origins, n.i.e."
ETH574,European origins
ETH575,British Isles origins
ETH576,Channel Islander
ETH577,Cornish
ETH578,English
ETH579,Irish
ETH580,Manx
ETH581,Scottish
ETH582,Welsh
ETH583,"British Isles origins, n.i.e."
ETH584,French origins
ETH585,Alsatian
ETH586,Breton
ETH587,Corsican
ETH588,French
ETH589,Western European origins (except French origins)
ETH590,Austrian
ETH591,Bavarian
ETH592,Belgian
ETH593,Dutch
ETH594,Flemish
ETH595,Frisian
ETH596,German
ETH597,Luxembourger
ETH598,Swiss
ETH599,"Western European origins, n.i.e."
ETH600,Northern European origins (except British Isles origins)
ETH601,Danish
ETH602,Finnish
ETH603,Icelandic
ETH604,Norwegian
ETH605,Swedish
ETH606,"Northern European origins, n.i.e."
ETH607,Eastern European origins
ETH608,Bulgarian
ETH609,Byelorussian
ETH610,Czech
ETH611,"Czechoslovakian, n.o.s."
ETH612,Estonian
ETH613,Hungarian
ETH614,Latvian
ETH615,Lithuanian
ETH616,Moldovan
ETH617,Polish
ETH618,Romanian
ETH619,Russian
ETH620,Slovak
ETH621,Ukrainian
ETH622,"Eastern European origins, n.i.e."
ETH623,Southern European origins
ETH624,Albanian
ETH625,Bosnian
ETH626,Catalan
ETH627,Croatian
ETH628,Cypriot
ETH629,Greek
ETH630,Italian
ETH631,Kosovar
ETH632,Macedonian
ETH633,Maltese
ETH634,Montenegrin
ETH635,Portuguese
ETH636,Serbian
ETH637,Sicilian
ETH638,Slovenian
ETH639,Spanish
