Ethnocultural_Key,Ethnoculture
ETH3631,Inuit
ETH3632,Métis
ETH3633,Other North American origins
ETH3634,Acadian
ETH3635,American
ETH3636,Canadian
ETH3637,New Brunswicker
ETH3638,Newfoundlander
ETH3639,Nova Scotian
ETH3640,Ontarian
ETH3641,Québécois
ETH3642,"Other North American origins, n.i.e."
ETH3643,European origins
ETH3644,British Isles origins
ETH3645,Channel Islander
ETH3646,Cornish
ETH3647,English
ETH3648,Irish
ETH3649,Manx
ETH3650,Scottish
ETH3651,Welsh
ETH3652,"British Isles origins, n.i.e."
ETH3653,French origins
ETH3654,Alsatian
ETH3655,Breton
ETH3656,Corsican
ETH3657,French
ETH3658,Western European origins (except French origins)
ETH3659,Austrian
ETH3660,Bavarian
ETH3661,Belgian
ETH3662,Dutch
ETH3663,Flemish
ETH3664,Frisian
ETH3665,German
ETH3666,Luxembourger
ETH3667,Swiss
ETH3668,"Western European origins, n.i.e."
ETH3669,Northern European origins (except British Isles origins)
ETH3670,Danish
ETH3671,Finnish
ETH3672,Icelandic
ETH3673,Norwegian
ETH3674,Swedish
ETH3675,"Northern European origins, n.i.e."
ETH3676,Eastern European origins
ETH3677,Bulgarian
ETH3678,Byelorussian
ETH3679,Czech
ETH3680,"Czechoslovakian, n.o.s."
ETH3681,Estonian
ETH3682,Hungarian
ETH3683,Latvian
ETH3684,Lithuanian
ETH3685,Moldovan
ETH3686,Polish
ETH3687,Romanian
ETH3688,Russian
ETH3689,Slovak
ETH3690,Ukrainian
ETH3691,"Eastern European origins, n.i.e."
ETH3692,Southern European origins
ETH3693,Albanian
ETH3694,Bosnian
ETH3695,Catalan
ETH3696,Croatian
ETH3697,Cypriot
ETH3698,Greek
ETH3699,Italian
ETH3700,Kosovar
ETH3701,Macedonian
ETH3702,Maltese
ETH3703,Montenegrin
ETH3704,Portuguese
ETH3705,Serbian
ETH3706,Sicilian
ETH3707,Slovenian
ETH3708,Spanish
ETH3709,"Yugoslavian, n.o.s."
ETH3710,"Southern European origins, n.i.e."
ETH3711,Other European origins
ETH3712,Basque
ETH3713,Jewish
ETH3714,Roma (Gypsy)
ETH3715,"Slavic, n.o.s."
ETH3716,"Other European origins, n.i.e."
ETH3717,Caribbean origins
ETH3718,Antiguan
ETH3719,Bahamian
ETH3720,Barbadian
ETH3721,Bermudan
ETH3722,Carib
ETH3723,Cuban
ETH3724,Dominican
ETH3725,Grenadian
ETH3726,Guadeloupean
ETH3727,Haitian
ETH3728,Jamaican
ETH3729,Kittitian/Nevisian
ETH3730,Martinican
ETH3731,Montserratan
ETH3732,Puerto Rican
ETH3733,St. Lucian
ETH3734,Trinidadian/Tobagonian
ETH3735,Vincentian/Grenadinian
ETH3736,"West Indian, n.o.s."
ETH3737,"Caribbean origins, n.i.e."
ETH3738,"Latin, Central and South American origins"
ETH3739,Aboriginal from Central/South America (except Arawak and Maya)
ETH3740,Arawak
ETH3741,Argentinian
ETH3742,Belizean
ETH3743,Bolivian
ETH3744,Brazilian
ETH3745,Chilean
ETH3746,Colombian
ETH3747,Costa Rican
ETH3748,Ecuadorian
ETH3749,Guatemalan
ETH3750,Guyanese
ETH3751,Hispanic
ETH3752,Honduran
ETH3753,Maya
ETH3754,Mexican
ETH3755,Nicaraguan
ETH3756,Panamanian
ETH3757,Paraguayan
ETH3758,Peruvian
ETH3759,Salvadorean
ETH3760,Uruguayan
ETH3761,Venezuelan
ETH3762,"Latin, Central and South American origins, n.i.e."
ETH3763,African origins
ETH3764,Central and West African origins
ETH3765,Akan
ETH3766,Angolan
ETH3767,Ashanti
ETH3768,Beninese
ETH3769,Burkinabe
ETH3770,Cameroonian
ETH3771,Chadian
ETH3772,Congolese
ETH3773,Edo
ETH3774,Ewe
ETH3775,Gabonese
ETH3776,Gambian
ETH3777,Ghanaian
ETH3778,Guinean
ETH3779,Ibo
ETH3780,Ivorian
ETH3781,Liberian
ETH3782,Malian
ETH3783,Malinké
ETH3784,Nigerian
ETH3785,Peulh
ETH3786,Senegalese
ETH3787,Sierra Leonean
ETH3788,Togolese
ETH3789,Wolof
ETH3790,Yoruba
ETH3791,"Central and West African origins, n.i.e."
ETH3792,North African origins
ETH3793,Algerian
ETH3794,Berber
ETH3795,Coptic
ETH3796,Dinka
ETH3797,Egyptian
ETH3798,Libyan
ETH3799,Maure
ETH3800,Moroccan
ETH3801,Sudanese
ETH3802,Tunisian
ETH3803,"North African origins, n.i.e."
ETH3804,Southern and East African origins
ETH3805,Afrikaner
ETH3806,Amhara
ETH3807,"Bantu, n.o.s."
ETH3808,Burundian
ETH3809,Djiboutian
ETH3810,Eritrean
ETH3811,Ethiopian
ETH3812,Harari
ETH3813,Kenyan
ETH3814,Malagasy
ETH3815,Mauritian
ETH3816,Oromo
ETH3817,Rwandan
ETH3818,Seychellois
ETH3819,Somali
ETH3820,South African
ETH3821,Tanzanian
ETH3822,Tigrian
ETH3823,Ugandan
ETH3824,Zambian
ETH3825,Zimbabwean
ETH3826,Zulu
ETH3827,"Southern and East African origins, n.i.e."
ETH3828,Other African origins
ETH3829,"Black, n.o.s."
ETH3830,"Other African origins, n.i.e."
ETH3831,Asian origins
ETH3832,West Central Asian and Middle Eastern origins
ETH3833,Afghan
ETH3834,"Arab, n.o.s."
ETH3835,Armenian
ETH3836,Assyrian
ETH3837,Azerbaijani
ETH3838,Georgian
ETH3839,Hazara
ETH3840,Iranian
ETH3841,Iraqi
ETH3842,Israeli
ETH3843,Jordanian
ETH3844,Kazakh
ETH3845,Kurd
ETH3846,Kuwaiti
ETH3847,Kyrgyz
ETH3848,Lebanese
ETH3849,Palestinian
ETH3850,Pashtun
ETH3851,Saudi Arabian
ETH3852,Syrian
ETH3853,Tajik
ETH3854,Tatar
ETH3855,Turk
ETH3856,Turkmen
ETH3857,Uighur
ETH3858,Uzbek
ETH3859,Yemeni
ETH3860,"West Central Asian and Middle Eastern origins, n.i.e."
ETH3861,South Asian origins
ETH3862,Bangladeshi
ETH3863,Bengali
ETH3864,Bhutanese
ETH3865,East Indian
ETH3866,Goan
ETH3867,Gujarati
ETH3868,Kashmiri
ETH3869,Nepali
ETH3870,Pakistani
ETH3871,Punjabi
ETH3872,Sinhalese
ETH3873,Sri Lankan
ETH3874,Tamil
ETH3875,"South Asian origins, n.i.e."
ETH3876,East and Southeast Asian origins
ETH3877,Burmese
ETH3878,Cambodian (Khmer)
ETH3879,Chinese
ETH3880,Filipino
ETH3881,Hmong
ETH3882,Indonesian
ETH3883,Japanese
ETH3884,Karen
ETH3885,Korean
ETH3886,Laotian
ETH3887,Malaysian
ETH3888,Mongolian
ETH3889,Singaporean
ETH3890,Taiwanese
ETH3891,Thai
ETH3892,Tibetan
ETH3893,Vietnamese
ETH3894,"East and Southeast Asian origins, n.i.e."
ETH3895,Other Asian origins
ETH3896,"Other Asian origins, n.i.e."
ETH3897,Oceania origins
ETH3898,Australian
ETH3899,New Zealander
ETH3900,Pacific Islands origins
ETH3901,Fijian
ETH3902,Hawaiian
ETH3903,Maori
ETH3904,Samoan
ETH3905,"Polynesian, n.o.s."
ETH3906,"Pacific Islands origins, n.i.e."
ETH3907,Total Ethnic Origin
ETH3908,North American Aboriginal origins
ETH3909,First Nations (North American Indian)
ETH3910,Inuit
ETH3911,Métis
ETH3912,Other North American origins
ETH3913,Acadian
ETH3914,American
ETH3915,Canadian
ETH3916,New Brunswicker
ETH3917,Newfoundlander
ETH3918,Nova Scotian
ETH3919,Ontarian
ETH3920,Québécois
ETH3921,"Other North American origins, n.i.e."
ETH3922,European origins
ETH3923,British Isles origins
ETH3924,Channel Islander
ETH3925,Cornish
ETH3926,English
ETH3927,Irish
ETH3928,Manx
ETH3929,Scottish
ETH3930,Welsh
ETH3931,"British Isles origins, n.i.e."
ETH3932,French origins
ETH3933,Alsatian
ETH3934,Breton
ETH3935,Corsican
ETH3936,French
ETH3937,Western European origins (except French origins)
ETH3938,Austrian
ETH3939,Bavarian
ETH3940,Belgian
ETH3941,Dutch
ETH3942,Flemish
ETH3943,Frisian
ETH3944,German
ETH3945,Luxembourger
ETH3946,Swiss
ETH3947,"Western European origins, n.i.e."
ETH3948,Northern European origins (except British Isles origins)
ETH3949,Danish
ETH3950,Finnish
ETH3951,Icelandic
ETH3952,Norwegian
ETH3953,Swedish
ETH3954,"Northern European origins, n.i.e."
ETH3955,Eastern European origins
ETH3956,Bulgarian
ETH3957,Byelorussian
ETH3958,Czech
ETH3959,"Czechoslovakian, n.o.s."
ETH3960,Estonian
ETH3961,Hungarian
ETH3962,Latvian
ETH3963,Lithuanian
ETH3964,Moldovan
ETH3965,Polish
ETH3966,Romanian
ETH3967,Russian
ETH3968,Slovak
ETH3969,Ukrainian
ETH3970,"Eastern European origins, n.i.e."
ETH3971,Southern European origins
ETH3972,Albanian
ETH3973,Bosnian
ETH3974,Catalan
ETH3975,Croatian
ETH3976,Cypriot
ETH3977,Greek
ETH3978,Italian
ETH3979,Kosovar
ETH3980,Macedonian
ETH3981,Maltese
ETH3982,Montenegrin
ETH3983,Portuguese
ETH3984,Serbian
ETH3985,Sicilian
ETH3986,Slovenian
ETH3987,Spanish
ETH3988,"Yugoslavian, n.o.s."
ETH3989,"Southern European origins, n.i.e."
ETH3990,Other European origins
ETH3991,Basque
ETH3992,Jewish
ETH3993,Roma (Gypsy)
ETH3994,"Slavic, n.o.s."
ETH3995,"Other European origins, n.i.e."
ETH3996,Caribbean origins
ETH3997,Antiguan
ETH3998,Bahamian
ETH3999,Barbadian
ETH4000,Bermudan
ETH4001,Carib
ETH4002,Cuban
ETH4003,Dominican
ETH4004,Grenadian
ETH4005,Guadeloupean
ETH4006,Haitian
ETH4007,Jamaican
ETH4008,Kittitian/Nevisian
ETH4009,Martinican
ETH4010,Montserratan
ETH4011,Puerto Rican
ETH4012,St. Lucian
ETH4013,Trinidadian/Tobagonian
ETH4014,Vincentian/Grenadinian
ETH4015,"West Indian, n.o.s."
ETH4016,"Caribbean origins, n.i.e."
ETH4017,"Latin, Central and South American origins"
ETH4018,Aboriginal from Central/South America (except Arawak and Maya)
ETH4019,Arawak
ETH4020,Argentinian
ETH4021,Belizean
ETH4022,Bolivian
ETH4023,Brazilian
ETH4024,Chilean
ETH4025,Colombian
ETH4026,Costa Rican
ETH4027,Ecuadorian
ETH4028,Guatemalan
ETH4029,Guyanese
ETH4030,Hispanic
ETH4031,Honduran
ETH4032,Maya
ETH4033,Mexican
ETH4034,Nicaraguan
ETH4035,Panamanian
ETH4036,Paraguayan
ETH4037,Peruvian
ETH4038,Salvadorean
ETH4039,Uruguayan
ETH4040,Venezuelan
ETH4041,"Latin, Central and South American origins, n.i.e."
ETH4042,African origins
ETH4043,Central and West African origins
ETH4044,Akan
ETH4045,Angolan
ETH4046,Ashanti
ETH4047,Beninese
ETH4048,Burkinabe
ETH4049,Cameroonian
ETH4050,Chadian
ETH4051,Congolese
ETH4052,Edo
ETH4053,Ewe
ETH4054,Gabonese
ETH4055,Gambian
ETH4056,Ghanaian
ETH4057,Guinean
ETH4058,Ibo
ETH4059,Ivorian
ETH4060,Liberian
ETH4061,Malian
ETH4062,Malinké
ETH4063,Nigerian
ETH4064,Peulh
ETH4065,Senegalese
ETH4066,Sierra Leonean
ETH4067,Togolese
ETH4068,Wolof
ETH4069,Yoruba
ETH4070,"Central and West African origins, n.i.e."
ETH4071,North African origins
ETH4072,Algerian
ETH4073,Berber
ETH4074,Coptic
ETH4075,Dinka
ETH4076,Egyptian
ETH4077,Libyan
ETH4078,Maure
ETH4079,Moroccan
ETH4080,Sudanese
ETH4081,Tunisian
ETH4082,"North African origins, n.i.e."
ETH4083,Southern and East African origins
ETH4084,Afrikaner
ETH4085,Amhara
ETH4086,"Bantu, n.o.s."
ETH4087,Burundian
ETH4088,Djiboutian
ETH4089,Eritrean
ETH4090,Ethiopian
ETH4091,Harari
ETH4092,Kenyan
ETH4093,Malagasy
ETH4094,Mauritian
ETH4095,Oromo
ETH4096,Rwandan
ETH4097,Seychellois
ETH4098,Somali
ETH4099,South African
ETH4100,Tanzanian
ETH4101,Tigrian
ETH4102,Ugandan
ETH4103,Zambian
ETH4104,Zimbabwean
ETH4105,Zulu
ETH4106,"Southern and East African origins, n.i.e."
ETH4107,Other African origins
ETH4108,"Black, n.o.s."
ETH4109,"Other African origins, n.i.e."
ETH4110,Asian origins
ETH4111,West Central Asian and Middle Eastern origins
ETH4112,Afghan
ETH4113,"Arab, n.o.s."
ETH4114,Armenian
ETH4115,Assyrian
ETH4116,Azerbaijani
ETH4117,Georgian
ETH4118,Hazara
ETH4119,Iranian
ETH4120,Iraqi
ETH4121,Israeli
ETH4122,Jordanian
ETH4123,Kazakh
ETH4124,Kurd
ETH4125,Kuwaiti
ETH4126,Kyrgyz
ETH4127,Lebanese
ETH4128,Palestinian
ETH4129,Pashtun
ETH4130,Saudi Arabian
ETH4131,Syrian
ETH4132,Tajik
ETH4133,Tatar
ETH4134,Turk
ETH4135,Turkmen
ETH4136,Uighur
ETH4137,Uzbek
ETH4138,Yemeni
ETH4139,"West Central Asian and Middle Eastern origins, n.i.e."
ETH4140,South Asian origins
ETH4141,Bangladeshi
ETH4142,Bengali
ETH4143,Bhutanese
ETH4144,East Indian
ETH4145,Goan
ETH4146,Gujarati
ETH4147,Kashmiri
ETH4148,Nepali
ETH4149,Pakistani
ETH4150,Punjabi
ETH4151,Sinhalese
ETH4152,Sri Lankan
ETH4153,Tamil
ETH4154,"South Asian origins, n.i.e."
ETH4155,East and Southeast Asian origins
ETH4156,Burmese
ETH4157,Cambodian (Khmer)
ETH4158,Chinese
ETH4159,Filipino
ETH4160,Hmong
ETH4161,Indonesian
ETH4162,Japanese
ETH4163,Karen
ETH4164,Korean
ETH4165,Laotian
ETH4166,Malaysian
ETH4167,Mongolian
ETH4168,Singaporean
ETH4169,Taiwanese
ETH4170,Thai
ETH4171,Tibetan
ETH4172,Vietnamese
ETH4173,"East and Southeast Asian origins, n.i.e."
ETH4174,Other Asian origins
ETH4175,"Other Asian origins, n.i.e."
ETH4176,Oceania origins
ETH4177,Australian
ETH4178,New Zealander
ETH4179,Pacific Islands origins
ETH4180,Fijian
ETH4181,Hawaiian
ETH4182,Maori
ETH4183,Samoan
ETH4184,"Polynesian, n.o.s."
ETH4185,"Pacific Islands origins, n.i.e."
ETH4186,Total Ethnic Origin
ETH4187,North American Aboriginal origins
ETH4188,First Nations (North American Indian)
ETH4189,Inuit
ETH4190,Métis
ETH4191,Other North American origins
ETH4192,Acadian
ETH4193,American
ETH4194,Canadian
ETH4195,New Brunswicker
ETH4196,Newfoundlander
ETH4197,Nova Scotian
ETH4198,Ontarian
ETH4199,Québécois
ETH4200,"Other North American origins, n.i.e."
ETH4201,European origins
ETH4202,British Isles origins
ETH4203,Channel Islander
ETH4204,Cornish
ETH4205,English
ETH4206,Irish
ETH4207,Manx
ETH4208,Scottish
ETH4209,Welsh
ETH4210,"British Isles origins, n.i.e."
ETH4211,French origins
ETH4212,Alsatian
ETH4213,Breton
ETH4214,Corsican
ETH4215,French
ETH4216,Western European origins (except French origins)
ETH4217,Austrian
ETH4218,Bavarian
ETH4219,Belgian
ETH4220,Dutch
ETH4221,Flemish
ETH4222,Frisian
ETH4223,German
ETH4224,Luxembourger
ETH4225,Swiss
ETH4226,"Western European origins, n.i.e."
ETH4227,Northern European origins (except British Isles origins)
ETH4228,Danish
ETH4229,Finnish
ETH4230,Icelandic
ETH4231,Norwegian
ETH4232,Swedish
ETH4233,"Northern European origins, n.i.e."
ETH4234,Eastern European origins
ETH4235,Bulgarian
ETH4236,Byelorussian
ETH4237,Czech
ETH4238,"Czechoslovakian, n.o.s."
ETH4239,Estonian
ETH4240,Hungarian
ETH4241,Latvian
ETH4242,Lithuanian
ETH4243,Moldovan
ETH4244,Polish
ETH4245,Romanian
ETH4246,Russian
ETH4247,Slovak
ETH4248,Ukrainian
ETH4249,"Eastern European origins, n.i.e."
ETH4250,Southern European origins
ETH4251,Albanian
ETH4252,Bosnian
ETH4253,Catalan
ETH4254,Croatian
ETH4255,Cypriot
ETH4256,Greek
ETH4257,Italian
ETH4258,Kosovar
ETH4259,Macedonian
ETH4260,Maltese
ETH4261,Montenegrin
ETH4262,Portuguese
ETH4263,Serbian
ETH4264,Sicilian
ETH4265,Slovenian
ETH4266,Spanish
ETH4267,"Yugoslavian, n.o.s."
ETH4268,"Southern European origins, n.i.e."
ETH4269,Other European origins
ETH4270,Basque
ETH4271,Jewish
ETH4272,Roma (Gypsy)
ETH4273,"Slavic, n.o.s."
ETH4274,"Other European origins, n.i.e."
ETH4275,Caribbean origins
ETH4276,Antiguan
ETH4277,Bahamian
ETH4278,Barbadian
ETH4279,Bermudan
ETH4280,Carib
ETH4281,Cuban
ETH4282,Dominican
ETH4283,Grenadian
ETH4284,Guadeloupean
ETH4285,Haitian
ETH4286,Jamaican
ETH4287,Kittitian/Nevisian
ETH4288,Martinican
ETH4289,Montserratan
ETH4290,Puerto Rican
ETH4291,St. Lucian
ETH4292,Trinidadian/Tobagonian
ETH4293,Vincentian/Grenadinian
ETH4294,"West Indian, n.o.s."
ETH4295,"Caribbean origins, n.i.e."
ETH4296,"Latin, Central and South American origins"
ETH4297,Aboriginal from Central/South America (except Arawak and Maya)
ETH4298,Arawak
ETH4299,Argentinian
ETH4300,Belizean
ETH4301,Bolivian
ETH4302,Brazilian
ETH4303,Chilean
ETH4304,Colombian
ETH4305,Costa Rican
ETH4306,Ecuadorian
ETH4307,Guatemalan
ETH4308,Guyanese
ETH4309,Hispanic
ETH4310,Honduran
ETH4311,Maya
ETH4312,Mexican
ETH4313,Nicaraguan
ETH4314,Panamanian
ETH4315,Paraguayan
ETH4316,Peruvian
ETH4317,Salvadorean
ETH4318,Uruguayan
ETH4319,Venezuelan
ETH4320,"Latin, Central and South American origins, n.i.e."
ETH4321,African origins
ETH4322,Central and West African origins
ETH4323,Akan
ETH4324,Angolan
ETH4325,Ashanti
ETH4326,Beninese
ETH4327,Burkinabe
ETH4328,Cameroonian
ETH4329,Chadian
ETH4330,Congolese
ETH4331,Edo
ETH4332,Ewe
ETH4333,Gabonese
ETH4334,Gambian
ETH4335,Ghanaian
ETH4336,Guinean
ETH4337,Ibo
ETH4338,Ivorian
ETH4339,Liberian
ETH4340,Malian
ETH4341,Malinké
ETH4342,Nigerian
ETH4343,Peulh
ETH4344,Senegalese
ETH4345,Sierra Leonean
ETH4346,Togolese
ETH4347,Wolof
ETH4348,Yoruba
ETH4349,"Central and West African origins, n.i.e."
ETH4350,North African origins
ETH4351,Algerian
ETH4352,Berber
ETH4353,Coptic
ETH4354,Dinka
ETH4355,Egyptian
ETH4356,Libyan
ETH4357,Maure
ETH4358,Moroccan
ETH4359,Sudanese
ETH4360,Tunisian
ETH4361,"North African origins, n.i.e."
ETH4362,Southern and East African origins
ETH4363,Afrikaner
ETH4364,Amhara
ETH4365,"Bantu, n.o.s."
ETH4366,Burundian
ETH4367,Djiboutian
ETH4368,Eritrean
ETH4369,Ethiopian
ETH4370,Harari
ETH4371,Kenyan
ETH4372,Malagasy
ETH4373,Mauritian
ETH4374,Oromo
ETH4375,Rwandan
ETH4376,Seychellois
ETH4377,Somali
ETH4378,South African
ETH4379,Tanzanian
ETH4380,Tigrian
ETH4381,Ugandan
ETH4382,Zambian
ETH4383,Zimbabwean
ETH4384,Zulu
ETH4385,"Southern and East African origins, n.i.e."
ETH4386,Other African origins
ETH4387,"Black, n.o.s."
ETH4388,"Other African origins, n.i.e."
ETH4389,Asian origins
ETH4390,West Central Asian and Middle Eastern origins
ETH4391,Afghan
ETH4392,"Arab, n.o.s."
ETH4393,Armenian
ETH4394,Assyrian
ETH4395,Azerbaijani
ETH4396,Georgian
ETH4397,Hazara
ETH4398,Iranian
ETH4399,Iraqi
ETH4400,Israeli
ETH4401,Jordanian
ETH4402,Kazakh
ETH4403,Kurd
ETH4404,Kuwaiti
ETH4405,Kyrgyz
ETH4406,Lebanese
ETH4407,Palestinian
ETH4408,Pashtun
ETH4409,Saudi Arabian
ETH4410,Syrian
ETH4411,Tajik
ETH4412,Tatar
ETH4413,Turk
ETH4414,Turkmen
ETH4415,Uighur
ETH4416,Uzbek
ETH4417,Yemeni
ETH4418,"West Central Asian and Middle Eastern origins, n.i.e."
ETH4419,South Asian origins
ETH4420,Bangladeshi
ETH4421,Bengali
ETH4422,Bhutanese
ETH4423,East Indian
ETH4424,Goan
ETH4425,Gujarati
ETH4426,Kashmiri
ETH4427,Nepali
ETH4428,Pakistani
ETH4429,Punjabi
ETH4430,Sinhalese
ETH4431,Sri Lankan
ETH4432,Tamil
ETH4433,"South Asian origins, n.i.e."
ETH4434,East and Southeast Asian origins
ETH4435,Burmese
ETH4436,Cambodian (Khmer)
ETH4437,Chinese
ETH4438,Filipino
ETH4439,Hmong
ETH4440,Indonesian
ETH4441,Japanese
ETH4442,Karen
ETH4443,Korean
ETH4444,Laotian
ETH4445,Malaysian
ETH4446,Mongolian
ETH4447,Singaporean
ETH4448,Taiwanese
ETH4449,Thai
ETH4450,Tibetan
ETH4451,Vietnamese
ETH4452,"East and Southeast Asian origins, n.i.e."
ETH4453,Other Asian origins
ETH4454,"Other Asian origins, n.i.e."
ETH4455,Oceania origins
ETH4456,Australian
ETH4457,New Zealander
ETH4458,Pacific Islands origins
ETH4459,Fijian
ETH4460,Hawaiian
ETH4461,Maori
ETH4462,Samoan
ETH4463,"Polynesian, n.o.s."
ETH4464,"Pacific Islands origins, n.i.e."
ETH4465,Total Ethnic Origin
ETH4466,North American Aboriginal origins
ETH4467,First Nations (North American Indian)
ETH4468,Inuit
ETH4469,Métis
ETH4470,Other North American origins
ETH4471,Acadian
ETH4472,American
ETH4473,Canadian
ETH4474,New Brunswicker
ETH4475,Newfoundlander
ETH4476,Nova Scotian
ETH4477,Ontarian
ETH4478,Québécois
ETH4479,"Other North American origins, n.i.e."
ETH4480,European origins
ETH4481,British Isles origins
ETH4482,Channel Islander
ETH4483,Cornish
ETH4484,English
ETH4485,Irish
ETH4486,Manx
ETH4487,Scottish
ETH4488,Welsh
ETH4489,"British Isles origins, n.i.e."
ETH4490,French origins
ETH4491,Alsatian
ETH4492,Breton
ETH4493,Corsican
ETH4494,French
ETH4495,Western European origins (except French origins)
ETH4496,Austrian
ETH4497,Bavarian
ETH4498,Belgian
ETH4499,Dutch
ETH4500,Flemish
ETH4501,Frisian
ETH4502,German
ETH4503,Luxembourger
ETH4504,Swiss
ETH4505,"Western European origins, n.i.e."
ETH4506,Northern European origins (except British Isles origins)
ETH4507,Danish
ETH4508,Finnish
ETH4509,Icelandic
ETH4510,Norwegian
ETH4511,Swedish
ETH4512,"Northern European origins, n.i.e."
ETH4513,Eastern European origins
ETH4514,Bulgarian
ETH4515,Byelorussian
ETH4516,Czech
ETH4517,"Czechoslovakian, n.o.s."
ETH4518,Estonian
ETH4519,Hungarian
ETH4520,Latvian
ETH4521,Lithuanian
ETH4522,Moldovan
ETH4523,Polish
ETH4524,Romanian
ETH4525,Russian
ETH4526,Slovak
ETH4527,Ukrainian
ETH4528,"Eastern European origins, n.i.e."
ETH4529,Southern European origins
ETH4530,Albanian
ETH4531,Bosnian
ETH4532,Catalan
ETH4533,Croatian
ETH4534,Cypriot
ETH4535,Greek
ETH4536,Italian
ETH4537,Kosovar
ETH4538,Macedonian
ETH4539,Maltese
ETH4540,Montenegrin
ETH4541,Portuguese
ETH4542,Serbian
ETH4543,Sicilian
ETH4544,Slovenian
ETH4545,Spanish
ETH4546,"Yugoslavian, n.o.s."
ETH4547,"Southern European origins, n.i.e."
ETH4548,Other European origins
ETH4549,Basque
ETH4550,Jewish
ETH4551,Roma (Gypsy)
ETH4552,"Slavic, n.o.s."
ETH4553,"Other European origins, n.i.e."
ETH4554,Caribbean origins
ETH4555,Antiguan
ETH4556,Bahamian
ETH4557,Barbadian
ETH4558,Bermudan
ETH4559,Carib
ETH4560,Cuban
ETH4561,Dominican
ETH4562,Grenadian
ETH4563,Guadeloupean
ETH4564,Haitian
ETH4565,Jamaican
ETH4566,Kittitian/Nevisian
ETH4567,Martinican
ETH4568,Montserratan
ETH4569,Puerto Rican
ETH4570,St. Lucian
ETH4571,Trinidadian/Tobagonian
ETH4572,Vincentian/Grenadinian
ETH4573,"West Indian, n.o.s."
ETH4574,"Caribbean origins, n.i.e."
ETH4575,"Latin, Central and South American origins"
ETH4576,Aboriginal from Central/South America (except Arawak and Maya)
ETH4577,Arawak
ETH4578,Argentinian
ETH4579,Belizean
ETH4580,Bolivian
ETH4581,Brazilian
ETH4582,Chilean
ETH4583,Colombian
ETH4584,Costa Rican
ETH4585,Ecuadorian
ETH4586,Guatemalan
ETH4587,Guyanese
ETH4588,Hispanic
ETH4589,Honduran
ETH4590,Maya
ETH4591,Mexican
ETH4592,Nicaraguan
ETH4593,Panamanian
ETH4594,Paraguayan
ETH4595,Peruvian
ETH4596,Salvadorean
ETH4597,Uruguayan
ETH4598,Venezuelan
ETH4599,"Latin, Central and South American origins, n.i.e."
ETH4600,African origins
ETH4601,Central and West African origins
ETH4602,Akan
ETH4603,Angolan
ETH4604,Ashanti
ETH4605,Beninese
ETH4606,Burkinabe
ETH4607,Cameroonian
ETH4608,Chadian
ETH4609,Congolese
ETH4610,Edo
ETH4611,Ewe
ETH4612,Gabonese
ETH4613,Gambian
ETH4614,Ghanaian
ETH4615,Guinean
ETH4616,Ibo
ETH4617,Ivorian
ETH4618,Liberian
ETH4619,Malian
ETH4620,Malinké
ETH4621,Nigerian
ETH4622,Peulh
ETH4623,Senegalese
ETH4624,Sierra Leonean
ETH4625,Togolese
ETH4626,Wolof
ETH4627,Yoruba
ETH4628,"Central and West African origins, n.i.e."
ETH4629,North African origins
ETH4630,Algerian
ETH4631,Berber
ETH4632,Coptic
ETH4633,Dinka
ETH4634,Egyptian
ETH4635,Libyan
ETH4636,Maure
ETH4637,Moroccan
ETH4638,Sudanese
ETH4639,Tunisian
ETH4640,"North African origins, n.i.e."
ETH4641,Southern and East African origins
ETH4642,Afrikaner
ETH4643,Amhara
ETH4644,"Bantu, n.o.s."
ETH4645,Burundian
ETH4646,Djiboutian
ETH4647,Eritrean
ETH4648,Ethiopian
ETH4649,Harari
ETH4650,Kenyan
ETH4651,Malagasy
ETH4652,Mauritian
ETH4653,Oromo
ETH4654,Rwandan
ETH4655,Seychellois
ETH4656,Somali
ETH4657,South African
ETH4658,Tanzanian
ETH4659,Tigrian
ETH4660,Ugandan
ETH4661,Zambian
ETH4662,Zimbabwean
ETH4663,Zulu
ETH4664,"Southern and East African origins, n.i.e."
ETH4665,Other African origins
ETH4666,"Black, n.o.s."
ETH4667,"Other African origins, n.i.e."
ETH4668,Asian origins
ETH4669,West Central Asian and Middle Eastern origins
ETH4670,Afghan
ETH4671,"Arab, n.o.s."
ETH4672,Armenian
ETH4673,Assyrian
ETH4674,Azerbaijani
ETH4675,Georgian
ETH4676,Hazara
ETH4677,Iranian
ETH4678,Iraqi
ETH4679,Israeli
ETH4680,Jordanian
ETH4681,Kazakh
ETH4682,Kurd
ETH4683,Kuwaiti
ETH4684,Kyrgyz
ETH4685,Lebanese
ETH4686,Palestinian
ETH4687,Pashtun
ETH4688,Saudi Arabian
ETH4689,Syrian
ETH4690,Tajik
ETH4691,Tatar
ETH4692,Turk
ETH4693,Turkmen
ETH4694,Uighur
ETH4695,Uzbek
ETH4696,Yemeni
ETH4697,"West Central Asian and Middle Eastern origins, n.i.e."
ETH4698,South Asian origins
ETH4699,Bangladeshi
ETH4700,Bengali
ETH4701,Bhutanese
ETH4702,East Indian
ETH4703,Goan
ETH4704,Gujarati
ETH4705,Kashmiri
ETH4706,Nepali
ETH4707,Pakistani
ETH4708,Punjabi
ETH4709,Sinhalese
ETH4710,Sri Lankan
