Permit_Key,Ward_ID,Est_Const_Cost,Application_Date_Key,Issued_Date_Key,Completed_Date_Key,Application_to_Issuance_Duration,Avg_App_to_Issuance_Duration_by_Year,Avg_Est_Const_Cost_by_Ward,Avg_Est_Const_Cost_by_Year
85,13,800000,4938,5042,6256,104,253.83,7795654.71978022,6984378.81
86,5,3000000,4951,5589,6241,638,253.83,1400922.5020242915,6984378.81
87,18,600000,4958,5118,6101,160,253.83,8584355.493548388,6984378.81
88,2,650000,4960,4996,6268,36,253.83,2989003.2716499544,6984378.81
89,16,650000,4964,5014,6042,50,253.83,2465023.1840707962,6984378.81
90,11,850000,4964,5057,6010,93,253.83,1820371.57,6984378.81
91,5,950000,4965,5163,5990,198,253.83,1400922.5020242915,6984378.81
92,12,1500000,4966,5069,5960,103,253.83,7658937.101338432,6984378.81
93,16,550000,4985,5415,6169,430,253.83,2465023.1840707962,6984378.81
94,2,675000,4995,5098,6270,103,253.83,2989003.2716499544,6984378.81
95,2,700000,5000,5101,6081,101,253.83,2989003.2716499544,6984378.81
96,17,510000,5001,5049,6105,48,253.83,1614143.0049603174,6984378.81
97,16,900000,5002,5080,6121,78,253.83,2465023.1840707962,6984378.81
98,16,900000,5002,5091,6184,89,253.83,2465023.1840707962,6984378.81
99,2,640000,5007,5112,6288,105,253.83,2989003.2716499544,6984378.81
100,18,630920,5013,5084,6017,71,253.83,8584355.493548388,6984378.81
101,2,693496,5017,5121,5955,104,253.83,2989003.2716499544,6984378.81
102,3,1000000,5030,5051,5958,21,253.83,9246769.549865229,6984378.81
103,17,700000,5036,5064,5962,28,253.83,1614143.0049603174,6984378.81
104,2,1000000,5038,5115,6128,77,253.83,2989003.2716499544,6984378.81
105,17,700000,5041,5147,5989,106,253.83,1614143.0049603174,6984378.81
106,11,1000000,5042,5079,6268,37,253.83,1820371.57,6984378.81
107,17,751680,5043,5094,5997,51,253.83,1614143.0049603174,6984378.81
108,15,600000,5063,5324,6283,261,253.83,4522577.48037889,6984378.81
109,11,600000,5077,5097,5982,20,253.83,1820371.57,6984378.81
110,2,544000,5086,5099,6274,13,253.83,2989003.2716499544,6984378.81
111,2,700000,5091,5220,5973,129,253.83,2989003.2716499544,6984378.81
112,12,550000,5091,5177,5960,86,253.83,7658937.101338432,6984378.81
113,2,1300000,5092,5189,5961,97,253.83,2989003.2716499544,6984378.81
114,17,624784,5094,5121,6032,27,253.83,1614143.0049603174,6984378.81
115,11,700000,5111,5127,6001,16,253.83,1820371.57,6984378.81
116,16,600000,5141,5576,6088,435,253.83,2465023.1840707962,6984378.81
117,2,860000,5148,5170,6036,22,253.83,2989003.2716499544,6984378.81
118,12,600000,5150,5167,6127,17,253.83,7658937.101338432,6984378.81
119,12,600000,5150,5246,6011,96,253.83,7658937.101338432,6984378.81
120,18,700000,5154,5182,5944,28,253.83,8584355.493548388,6984378.81
121,3,850000,5156,5206,5975,50,253.83,9246769.549865229,6984378.81
122,17,550000,5167,5303,5951,136,253.83,1614143.0049603174,6984378.81
123,17,550000,5167,5303,5951,136,253.83,1614143.0049603174,6984378.81
124,17,550000,5167,5303,5967,136,253.83,1614143.0049603174,6984378.81
125,1,1200000,5168,5190,6170,22,253.83,3325419.7044334975,6984378.81
126,17,687336,5170,5377,5996,207,253.83,1614143.0049603174,6984378.81
127,12,1000000,5182,5223,6003,41,253.83,7658937.101338432,6984378.81
128,2,650000,5225,5244,6137,19,246.12,2989003.2716499544,6701891.81
129,16,1000000,5234,5252,6037,18,246.12,2465023.1840707962,6701891.81
130,22,795000,5241,5335,6038,94,246.12,2904103.2512077293,6701891.81
131,2,830000,5247,5275,6136,28,246.12,2989003.2716499544,6701891.81
132,2,675000,5254,5274,6053,20,246.12,2989003.2716499544,6701891.81
133,24,2800000,5265,5486,6064,221,246.12,23456062.532786883,6701891.81
134,12,700000,5266,5394,5989,128,246.12,7658937.101338432,6701891.81
135,3,750000,5267,5324,6155,57,246.12,9246769.549865229,6701891.81
136,12,1200000,5269,5463,5996,194,246.12,7658937.101338432,6701891.81
137,16,650000,5269,5310,6072,41,246.12,2465023.1840707962,6701891.81
138,11,850000,5272,5434,5988,162,246.12,1820371.57,6701891.81
139,2,600000,5274,5357,6073,83,246.12,2989003.2716499544,6701891.81
140,2,892990,5287,5426,6246,139,246.12,2989003.2716499544,6701891.81
141,2,675000,5295,5309,6287,14,246.12,2989003.2716499544,6701891.81
142,24,3000000,5296,5359,5986,63,246.12,23456062.532786883,6701891.81
143,12,1000000,5310,5328,6196,18,246.12,7658937.101338432,6701891.81
144,11,850000,5315,5323,6066,8,246.12,1820371.57,6701891.81
145,18,750000,5315,5331,5951,16,246.12,8584355.493548388,6701891.81
146,11,1000000,5323,5329,6252,6,246.12,1820371.57,6701891.81
147,2,1200000,5328,5407,5990,79,246.12,2989003.2716499544,6701891.81
148,17,700000,5328,5372,6142,44,246.12,1614143.0049603174,6701891.81
149,15,700000,5330,5414,6239,84,246.12,4522577.48037889,6701891.81
150,11,1300000,5337,5391,6247,54,246.12,1820371.57,6701891.81
151,15,700000,5349,5409,6098,60,246.12,4522577.48037889,6701891.81
152,12,750000,5350,5379,5974,29,246.12,7658937.101338432,6701891.81
153,2,835000,5357,5364,6112,7,246.12,2989003.2716499544,6701891.81
154,7,650000,5357,5639,6127,282,246.12,3738553.685483871,6701891.81
155,2,540000,5358,5367,6045,9,246.12,2989003.2716499544,6701891.81
156,11,900000,5358,5371,6221,13,246.12,1820371.57,6701891.81
157,2,898000,5358,5379,6107,21,246.12,2989003.2716499544,6701891.81
158,12,1000000,5360,5391,5996,31,246.12,7658937.101338432,6701891.81
159,2,800000,5363,5378,6155,15,246.12,2989003.2716499544,6701891.81
160,2,550000,5364,5381,6203,17,246.12,2989003.2716499544,6701891.81
161,2,650000,5367,5435,5995,68,246.12,2989003.2716499544,6701891.81
162,11,600000,5378,5409,6281,31,246.12,1820371.57,6701891.81
163,2,700000,5379,5420,6081,41,246.12,2989003.2716499544,6701891.81
164,2,858000,5381,5448,5966,67,246.12,2989003.2716499544,6701891.81
165,2,550000,5395,5402,6106,7,246.12,2989003.2716499544,6701891.81
166,17,700000,5401,5450,5958,49,246.12,1614143.0049603174,6701891.81
167,16,520000,5405,5506,6233,101,246.12,2465023.1840707962,6701891.81
168,11,640000,5406,5430,6196,24,246.12,1820371.57,6701891.81
169,19,585000,5414,5471,5975,57,246.12,6721340.5708154505,6701891.81
170,15,550000,5423,5442,5941,19,246.12,4522577.48037889,6701891.81
171,16,900000,5427,5520,6213,93,246.12,2465023.1840707962,6701891.81
172,13,700000,5428,5577,6142,149,246.12,7795654.71978022,6701891.81
173,2,650000,5429,5461,6134,32,246.12,2989003.2716499544,6701891.81
174,18,900000,5435,5486,6105,51,246.12,8584355.493548388,6701891.81
175,11,715000,5437,5468,6105,31,246.12,1820371.57,6701891.81
176,11,666400,5441,5471,6226,30,246.12,1820371.57,6701891.81
177,1,700000,5442,5497,6282,55,246.12,3325419.7044334975,6701891.81
178,2,630000,5450,5464,6092,14,246.12,2989003.2716499544,6701891.81
179,9,650000,5455,5714,6175,259,246.12,3707403.8834951455,6701891.81
180,2,543216,5455,5477,6227,22,246.12,2989003.2716499544,6701891.81
181,16,900000,5457,5485,5973,28,246.12,2465023.1840707962,6701891.81
182,2,600000,5458,5660,6067,202,246.12,2989003.2716499544,6701891.81
183,1,554928,5461,5484,6039,23,246.12,3325419.7044334975,6701891.81
184,2,800000,5464,5484,6024,20,246.12,2989003.2716499544,6701891.81
185,3,800000,5465,5559,6228,94,246.12,9246769.549865229,6701891.81
186,24,2000000,5465,5598,5974,133,246.12,23456062.532786883,6701891.81
187,12,1000000,5465,5493,6009,28,246.12,7658937.101338432,6701891.81
188,16,850000,5471,5483,6254,12,246.12,2465023.1840707962,6701891.81
189,2,655000,5472,5681,6231,209,246.12,2989003.2716499544,6701891.81
190,2,600000,5475,5507,6011,32,246.12,2989003.2716499544,6701891.81
191,11,1200000,5478,5771,5940,293,246.12,1820371.57,6701891.81
192,11,2400000,5478,5771,5960,293,246.12,1820371.57,6701891.81
193,2,600000,5483,5574,6135,91,246.12,2989003.2716499544,6701891.81
194,12,1000000,5491,5528,6052,37,246.12,7658937.101338432,6701891.81
195,17,1000000,5492,5524,6246,32,246.12,1614143.0049603174,6701891.81
196,2,620000,5496,5512,5988,16,246.12,2989003.2716499544,6701891.81
197,16,900000,5497,5531,6044,34,246.12,2465023.1840707962,6701891.81
198,2,625000,5503,5526,6080,23,246.12,2989003.2716499544,6701891.81
199,16,1200000,5504,5603,6291,99,246.12,2465023.1840707962,6701891.81
200,11,850000,5504,5514,6056,10,246.12,1820371.57,6701891.81
201,2,700000,5511,5538,6046,27,246.12,2989003.2716499544,6701891.81
202,17,750000,5512,5527,6008,15,246.12,1614143.0049603174,6701891.81
203,17,658240,5512,5532,6073,20,246.12,1614143.0049603174,6701891.81
204,3,850000,5513,5545,6140,32,246.12,9246769.549865229,6701891.81
205,2,853020,5513,5538,5983,25,246.12,2989003.2716499544,6701891.81
206,2,725000,5514,5527,6164,13,246.12,2989003.2716499544,6701891.81
207,17,712992,5517,5539,6128,22,246.12,1614143.0049603174,6701891.81
208,22,550000,5517,5534,6094,17,246.12,2904103.2512077293,6701891.81
209,17,650000,5519,5616,6253,97,246.12,1614143.0049603174,6701891.81
210,2,700000,5520,5574,6105,54,246.12,2989003.2716499544,6701891.81
211,16,5000000,5521,5617,6245,96,246.12,2465023.1840707962,6701891.81
212,2,700000,5524,5546,6001,22,246.12,2989003.2716499544,6701891.81
213,17,800000,5525,5559,6211,34,246.12,1614143.0049603174,6701891.81
214,11,700000,5531,5547,6015,16,246.12,1820371.57,6701891.81
215,11,850000,5534,5546,6266,12,246.12,1820371.57,6701891.81
216,24,2900000,5542,5575,6102,33,246.12,23456062.532786883,6701891.81
217,2,900000,5542,5555,6211,13,246.12,2989003.2716499544,6701891.81
218,21,1200000,5547,5626,6028,79,246.12,17091199.984,6701891.81
219,8,850000,5554,5624,5982,70,246.12,1501617.2191780822,6701891.81
220,15,700000,5554,5596,6206,42,246.12,4522577.48037889,6701891.81
221,2,700000,5556,5581,6044,25,246.12,2989003.2716499544,6701891.81
222,16,850000,5560,5619,6274,59,246.12,2465023.1840707962,6701891.81
223,17,516384,5574,5612,5975,38,104.75,1614143.0049603174,3369660.19
224,2,700000,5574,5605,6078,31,104.75,2989003.2716499544,3369660.19
225,2,775000,5576,5602,6002,26,104.75,2989003.2716499544,3369660.19
226,12,800000,5577,5597,6289,20,104.75,7658937.101338432,3369660.19
227,11,750000,5583,5623,6035,40,104.75,1820371.57,3369660.19
228,2,633000,5587,5654,6105,67,104.75,2989003.2716499544,3369660.19
229,2,607000,5587,5640,6100,53,104.75,2989003.2716499544,3369660.19
230,2,681000,5591,5596,6009,5,104.75,2989003.2716499544,3369660.19
231,2,609000,5597,5631,6231,34,104.75,2989003.2716499544,3369660.19
232,3,650000,5598,5612,6008,14,104.75,9246769.549865229,3369660.19
233,2,700000,5602,5667,6210,65,104.75,2989003.2716499544,3369660.19
234,11,800000,5604,5636,6206,32,104.75,1820371.57,3369660.19
235,19,600000,5608,5652,6252,44,104.75,6721340.5708154505,3369660.19
236,11,600000,5609,5638,6241,29,104.75,1820371.57,3369660.19
237,2,762000,5610,5699,5975,89,104.75,2989003.2716499544,3369660.19
238,2,770000,5610,5650,6227,40,104.75,2989003.2716499544,3369660.19
239,2,650000,5611,5631,6246,20,104.75,2989003.2716499544,3369660.19
240,18,840000,5616,5659,6088,43,104.75,8584355.493548388,3369660.19
241,17,700000,5618,5640,6051,22,104.75,1614143.0049603174,3369660.19
242,2,825000,5623,5639,6196,16,104.75,2989003.2716499544,3369660.19
243,2,665000,5625,5643,6142,18,104.75,2989003.2716499544,3369660.19
244,18,700000,5630,5660,6207,30,104.75,8584355.493548388,3369660.19
245,2,750000,5632,5659,6035,27,104.75,2989003.2716499544,3369660.19
246,2,760000,5636,5666,5969,30,104.75,2989003.2716499544,3369660.19
247,2,550000,5639,5720,6087,81,104.75,2989003.2716499544,3369660.19
248,24,1000000,5643,5679,6016,36,104.75,23456062.532786883,3369660.19
249,2,615000,5645,5666,6234,21,104.75,2989003.2716499544,3369660.19
250,2,1200000,5653,5659,6296,6,104.75,2989003.2716499544,3369660.19
251,2,800000,5654,5675,6079,21,104.75,2989003.2716499544,3369660.19
252,3,1000000,5654,5689,6262,35,104.75,9246769.549865229,3369660.19
253,18,630000,5659,5703,6267,44,104.75,8584355.493548388,3369660.19
254,11,650000,5667,5682,6226,15,104.75,1820371.57,3369660.19
255,1,606496,5667,5699,6255,32,104.75,3325419.7044334975,3369660.19
256,2,600000,5671,5696,6232,25,104.75,2989003.2716499544,3369660.19
257,2,1000000,5672,5682,6108,10,104.75,2989003.2716499544,3369660.19
258,1,759772,5673,5721,6149,48,104.75,3325419.7044334975,3369660.19
259,16,600000,5675,5703,6262,28,104.75,2465023.1840707962,3369660.19
260,14,600000,5678,5707,6133,29,104.75,5826416.914893617,3369660.19
261,2,565000,5679,5716,6261,37,104.75,2989003.2716499544,3369660.19
262,16,600000,5679,5696,6000,17,104.75,2465023.1840707962,3369660.19
263,2,1200000,5680,5692,6080,12,104.75,2989003.2716499544,3369660.19
264,1,584312,5681,5714,6224,33,104.75,3325419.7044334975,3369660.19
265,2,700000,5685,5727,6128,42,104.75,2989003.2716499544,3369660.19
266,21,2200000,5702,5744,6066,42,104.75,17091199.984,3369660.19
267,17,780102,5702,5745,6099,43,104.75,1614143.0049603174,3369660.19
268,2,630000,5703,5730,6157,27,104.75,2989003.2716499544,3369660.19
269,17,600606,5703,5748,6183,45,104.75,1614143.0049603174,3369660.19
270,2,645000,5706,5723,6281,17,104.75,2989003.2716499544,3369660.19
271,17,800000,5709,5757,6267,48,104.75,1614143.0049603174,3369660.19
272,16,680000,5709,5729,6115,20,104.75,2465023.1840707962,3369660.19
273,12,600000,5710,5749,6102,39,104.75,7658937.101338432,3369660.19
274,21,512000,5714,5756,6067,42,104.75,17091199.984,3369660.19
275,24,1000000,5717,5749,6221,32,104.75,23456062.532786883,3369660.19
276,2,850000,5722,5738,6203,16,104.75,2989003.2716499544,3369660.19
277,2,875000,5723,5735,6165,12,104.75,2989003.2716499544,3369660.19
278,15,600000,5727,5829,6260,102,104.75,4522577.48037889,3369660.19
279,15,600000,5727,5829,6260,102,104.75,4522577.48037889,3369660.19
280,4,600000,5728,5769,6190,41,104.75,4297914.794871795,3369660.19
281,2,633000,5729,5756,6091,27,104.75,2989003.2716499544,3369660.19
282,2,900000,5731,5757,6238,26,104.75,2989003.2716499544,3369660.19
283,17,700000,5735,5770,6214,35,104.75,1614143.0049603174,3369660.19
284,2,800000,5736,5758,6280,22,104.75,2989003.2716499544,3369660.19
285,12,750000,5736,5819,6218,83,104.75,7658937.101338432,3369660.19
286,3,550000,5738,5790,6192,52,104.75,9246769.549865229,3369660.19
