Age_Key,Age_Range
AG271,45 to 49 years
AG272,50 to 54 years
AG273,55 to 59 years
AG274,60 to 64 years
AG275,65 to 69 years
AG276,70 to 74 years
AG277,75 to 79 years
AG278,80 to 84 years
AG279,85 to 89 years
AG280,90 years and over
AG281,Total - Age
AG282,0 to 4 years
AG283,5 to 9 years
AG284,10 to 14 years
AG285,15 to 19 years
AG286,20 to 24 years
AG287,25 to 29 years
AG288,30 to 34 years
AG289,35 to 39 years
AG290,40 to 44 years
AG291,45 to 49 years
AG292,50 to 54 years
AG293,55 to 59 years
AG294,60 to 64 years
AG295,65 to 69 years
AG296,70 to 74 years
AG297,75 to 79 years
AG298,80 to 84 years
AG299,85 to 89 years
AG300,90 years and over
AG301,Total - Age
AG302,0 to 4 years
AG303,5 to 9 years
AG304,10 to 14 years
AG305,15 to 19 years
AG306,20 to 24 years
AG307,25 to 29 years
AG308,30 to 34 years
AG309,35 to 39 years
AG310,40 to 44 years
AG311,45 to 49 years
AG312,50 to 54 years
AG313,55 to 59 years
AG314,60 to 64 years
AG315,65 to 69 years
AG316,70 to 74 years
AG317,75 to 79 years
AG318,80 to 84 years
AG319,85 to 89 years
AG320,90 years and over
AG321,Total - Age
AG322,0 to 4 years
AG323,5 to 9 years
AG324,10 to 14 years
AG325,15 to 19 years
AG326,20 to 24 years
AG327,25 to 29 years
AG328,30 to 34 years
AG329,35 to 39 years
AG330,40 to 44 years
AG331,45 to 49 years
AG332,50 to 54 years
AG333,55 to 59 years
AG334,60 to 64 years
AG335,65 to 69 years
AG336,70 to 74 years
AG337,75 to 79 years
AG338,80 to 84 years
AG339,85 to 89 years
AG340,90 years and over
AG341,Total - Age
AG342,0 to 4 years
AG343,5 to 9 years
AG344,10 to 14 years
AG345,15 to 19 years
AG346,20 to 24 years
AG347,25 to 29 years
AG348,30 to 34 years
AG349,35 to 39 years
AG350,40 to 44 years
AG351,45 to 49 years
AG352,50 to 54 years
AG353,55 to 59 years
AG354,60 to 64 years
AG355,65 to 69 years
AG356,70 to 74 years
AG357,75 to 79 years
AG358,80 to 84 years
AG359,85 to 89 years
AG360,90 years and over
AG361,Total - Age
AG362,0 to 4 years
AG363,5 to 9 years
AG364,10 to 14 years
AG365,15 to 19 years
AG366,20 to 24 years
AG367,25 to 29 years
AG368,30 to 34 years
AG369,35 to 39 years
AG370,40 to 44 years
AG371,45 to 49 years
AG372,50 to 54 years
AG373,55 to 59 years
AG374,60 to 64 years
AG375,65 to 69 years
AG376,70 to 74 years
AG377,75 to 79 years
AG378,80 to 84 years
AG379,85 to 89 years
AG380,90 years and over
AG381,Total - Age
AG382,0 to 4 years
AG383,5 to 9 years
AG384,10 to 14 years
AG385,15 to 19 years
AG386,20 to 24 years
AG387,25 to 29 years
AG388,30 to 34 years
AG389,35 to 39 years
AG390,40 to 44 years
AG391,45 to 49 years
AG392,50 to 54 years
AG393,55 to 59 years
AG394,60 to 64 years
AG395,65 to 69 years
AG396,70 to 74 years
AG397,75 to 79 years
AG398,80 to 84 years
AG399,85 to 89 years
AG400,90 years and over
AG401,Total - Age
AG402,0 to 4 years
AG403,5 to 9 years
AG404,10 to 14 years
AG405,15 to 19 years
AG406,20 to 24 years
AG407,25 to 29 years
AG408,30 to 34 years
AG409,35 to 39 years
AG410,40 to 44 years
AG411,45 to 49 years
AG412,50 to 54 years
AG413,55 to 59 years
AG414,60 to 64 years
AG415,65 to 69 years
AG416,70 to 74 years
AG417,75 to 79 years
AG418,80 to 84 years
AG419,85 to 89 years
AG420,90 years and over
AG421,Total - Age
AG422,0 to 4 years
AG423,5 to 9 years
AG424,10 to 14 years
AG425,15 to 19 years
AG426,20 to 24 years
AG427,25 to 29 years
AG428,30 to 34 years
AG429,35 to 39 years
AG430,40 to 44 years
AG431,45 to 49 years
AG432,50 to 54 years
AG433,55 to 59 years
AG434,60 to 64 years
AG435,65 to 69 years
AG436,70 to 74 years
AG437,75 to 79 years
AG438,80 to 84 years
AG439,85 to 89 years
AG440,90 years and over
AG441,Total - Age
AG442,0 to 4 years
AG443,5 to 9 years
AG444,10 to 14 years
AG445,15 to 19 years
AG446,20 to 24 years
AG447,25 to 29 years
AG448,30 to 34 years
AG449,35 to 39 years
AG450,40 to 44 years
AG451,45 to 49 years
AG452,50 to 54 years
AG453,55 to 59 years
AG454,60 to 64 years
AG455,65 to 69 years
AG456,70 to 74 years
AG457,75 to 79 years
AG458,80 to 84 years
AG459,85 to 89 years
AG460,90 years and over
AG461,Total - Age
AG462,0 to 4 years
AG463,5 to 9 years
AG464,10 to 14 years
AG465,15 to 19 years
AG466,20 to 24 years
AG467,25 to 29 years
AG468,30 to 34 years
AG469,35 to 39 years
AG470,40 to 44 years
AG471,45 to 49 years
AG472,50 to 54 years
AG473,55 to 59 years
AG474,60 to 64 years
AG475,65 to 69 years
AG476,70 to 74 years
AG477,75 to 79 years
AG478,80 to 84 years
AG479,85 to 89 years
AG480,90 years and over
AG481,Total - Age
AG482,0 to 4 years
AG483,5 to 9 years
AG484,10 to 14 years
AG485,15 to 19 years
AG486,20 to 24 years
AG487,25 to 29 years
AG488,30 to 34 years
AG489,35 to 39 years
AG490,40 to 44 years
AG491,45 to 49 years
AG492,50 to 54 years
AG493,55 to 59 years
AG494,60 to 64 years
AG495,65 to 69 years
AG496,70 to 74 years
AG497,75 to 79 years
AG498,80 to 84 years
AG499,85 to 89 years
AG500,90 years and over
AG501,Total - Age
AG502,0 to 4 years
AG503,5 to 9 years
AG504,10 to 14 years
AG505,15 to 19 years
AG506,20 to 24 years
AG507,25 to 29 years
AG508,30 to 34 years
AG509,35 to 39 years
AG510,40 to 44 years
AG511,45 to 49 years
AG512,50 to 54 years
AG513,55 to 59 years
AG514,60 to 64 years
AG515,65 to 69 years
AG516,70 to 74 years
AG517,75 to 79 years
AG518,80 to 84 years
AG519,85 to 89 years
AG520,90 years and over
AG521,Total - Age
AG522,0 to 4 years
AG523,5 to 9 years
AG524,10 to 14 years
AG525,15 to 19 years
AG526,20 to 24 years
AG527,25 to 29 years
AG528,30 to 34 years
AG529,35 to 39 years
AG530,40 to 44 years
AG531,45 to 49 years
AG532,50 to 54 years
AG533,55 to 59 years
AG534,60 to 64 years
AG535,65 to 69 years
AG536,70 to 74 years
AG537,75 to 79 years
AG538,80 to 84 years
AG539,85 to 89 years
AG540,90 years and over
AG541,Total - Age
AG542,0 to 4 years
AG543,5 to 9 years
AG544,10 to 14 years
AG545,15 to 19 years
AG546,20 to 24 years
AG547,25 to 29 years
AG548,30 to 34 years
AG549,35 to 39 years
AG550,40 to 44 years
AG551,45 to 49 years
AG552,50 to 54 years
AG553,55 to 59 years
AG554,60 to 64 years
AG555,65 to 69 years
AG556,70 to 74 years
AG557,75 to 79 years
AG558,80 to 84 years
AG559,85 to 89 years
AG560,90 years and over
AG561,Total - Age
AG562,0 to 4 years
AG563,5 to 9 years
AG564,10 to 14 years
AG565,15 to 19 years
AG566,20 to 24 years
AG567,25 to 29 years
AG568,30 to 34 years
AG569,35 to 39 years
AG570,40 to 44 years
AG571,45 to 49 years
AG572,50 to 54 years
AG573,55 to 59 years
AG574,60 to 64 years
AG575,65 to 69 years
AG576,70 to 74 years
AG577,75 to 79 years
AG578,80 to 84 years
AG579,85 to 89 years
AG580,90 years and over
AG581,Total - Age
AG582,0 to 4 years
AG583,5 to 9 years
AG584,10 to 14 years
AG585,15 to 19 years
AG586,20 to 24 years
AG587,25 to 29 years
AG588,30 to 34 years
AG589,35 to 39 years
AG590,40 to 44 years
AG591,45 to 49 years
AG592,50 to 54 years
AG593,55 to 59 years
AG594,60 to 64 years
AG595,65 to 69 years
AG596,70 to 74 years
AG597,75 to 79 years
AG598,80 to 84 years
AG599,85 to 89 years
AG600,90 years and over
AG601,Total - Age
AG602,0 to 4 years
AG603,5 to 9 years
AG604,10 to 14 years
AG605,15 to 19 years
AG606,20 to 24 years
AG607,25 to 29 years
AG608,30 to 34 years
AG609,35 to 39 years
AG610,40 to 44 years
AG611,45 to 49 years
AG612,50 to 54 years
AG613,55 to 59 years
AG614,60 to 64 years
AG615,65 to 69 years
AG616,70 to 74 years
AG617,75 to 79 years
AG618,80 to 84 years
AG619,85 to 89 years
AG620,90 years and over
AG621,Total - Age
AG622,0 to 4 years
AG623,5 to 9 years
AG624,10 to 14 years
AG625,15 to 19 years
AG626,20 to 24 years
AG627,25 to 29 years
AG628,30 to 34 years
AG629,35 to 39 years
AG630,40 to 44 years
AG631,45 to 49 years
AG632,50 to 54 years
AG633,55 to 59 years
AG634,60 to 64 years
AG635,65 to 69 years
AG636,70 to 74 years
AG637,75 to 79 years
AG638,80 to 84 years
AG639,85 to 89 years
AG640,90 years and over
AG641,Total - Age
AG642,0 to 4 years
AG643,5 to 9 years
AG644,10 to 14 years
AG645,15 to 19 years
AG646,20 to 24 years
AG647,25 to 29 years
AG648,30 to 34 years
AG649,35 to 39 years
AG650,40 to 44 years
AG651,45 to 49 years
AG652,50 to 54 years
AG653,55 to 59 years
AG654,60 to 64 years
AG655,65 to 69 years
AG656,70 to 74 years
AG657,75 to 79 years
AG658,80 to 84 years
