Ward_ID,Year,Dimension_Type,Dimension_Key,Population,No_Cert_Ratio
0,2016,Income,INC1,2294785.0,0.1644333468421947
0,2016,Income,INC2,107560.0,0.1644333468421947
0,2016,Income,INC3,2187225.0,0.1644333468421947
0,2016,Income,INC4,388570.0,0.1644333468421947
0,2016,Income,INC5,411160.0,0.1644333468421947
0,2016,Income,INC6,290580.0,0.1644333468421947
0,2016,Income,INC7,221505.0,0.1644333468421947
0,2016,Income,INC8,188475.0,0.1644333468421947
0,2016,Income,INC9,144180.0,0.1644333468421947
0,2016,Income,INC10,114915.0,0.1644333468421947
0,2016,Income,INC11,89780.0,0.1644333468421947
0,2016,Income,INC12,69855.0,0.1644333468421947
0,2016,Income,INC13,58180.0,0.1644333468421947
0,2016,Income,INC14,210030.0,0.1644333468421947
0,2016,Income,INC15,119810.0,0.1644333468421947
0,2016,Income,INC16,90220.0,0.1644333468421947
1,2016,Income,INC17,95290.0,0.24906868146282596
1,2016,Income,INC18,5845.0,0.24906868146282596
1,2016,Income,INC19,89445.0,0.24906868146282596
1,2016,Income,INC20,18485.0,0.24906868146282596
1,2016,Income,INC21,20100.0,0.24906868146282596
1,2016,Income,INC22,14395.0,0.24906868146282596
1,2016,Income,INC23,11015.0,0.24906868146282596
1,2016,Income,INC24,8635.0,0.24906868146282596
1,2016,Income,INC25,5675.0,0.24906868146282596
1,2016,Income,INC26,3700.0,0.24906868146282596
1,2016,Income,INC27,2570.0,0.24906868146282596
1,2016,Income,INC28,1570.0,0.24906868146282596
1,2016,Income,INC29,1230.0,0.24906868146282596
1,2016,Income,INC30,2065.0,0.24906868146282596
1,2016,Income,INC31,1680.0,0.24906868146282596
1,2016,Income,INC32,395.0,0.24906868146282596
2,2016,Income,INC33,98785.0,0.14976212167223404
2,2016,Income,INC34,4110.0,0.14976212167223404
2,2016,Income,INC35,94675.0,0.14976212167223404
2,2016,Income,INC36,13910.0,0.14976212167223404
2,2016,Income,INC37,14750.0,0.14976212167223404
2,2016,Income,INC38,11945.0,0.14976212167223404
2,2016,Income,INC39,9280.0,0.14976212167223404
2,2016,Income,INC40,8445.0,0.14976212167223404
2,2016,Income,INC41,7065.0,0.14976212167223404
2,2016,Income,INC42,6165.0,0.14976212167223404
2,2016,Income,INC43,4665.0,0.14976212167223404
2,2016,Income,INC44,3800.0,0.14976212167223404
2,2016,Income,INC45,3380.0,0.14976212167223404
2,2016,Income,INC46,11260.0,0.14976212167223404
2,2016,Income,INC47,6305.0,0.14976212167223404
2,2016,Income,INC48,4965.0,0.14976212167223404
3,2016,Income,INC49,110720.0,0.13073518786127167
3,2016,Income,INC50,3750.0,0.13073518786127167
3,2016,Income,INC51,106965.0,0.13073518786127167
3,2016,Income,INC52,14865.0,0.13073518786127167
3,2016,Income,INC53,16495.0,0.13073518786127167
3,2016,Income,INC54,12630.0,0.13073518786127167
3,2016,Income,INC55,10600.0,0.13073518786127167
3,2016,Income,INC56,9860.0,0.13073518786127167
3,2016,Income,INC57,8010.0,0.13073518786127167
3,2016,Income,INC58,6965.0,0.13073518786127167
3,2016,Income,INC59,5505.0,0.13073518786127167
3,2016,Income,INC60,4550.0,0.13073518786127167
3,2016,Income,INC61,3770.0,0.13073518786127167
3,2016,Income,INC62,13720.0,0.13073518786127167
3,2016,Income,INC63,8100.0,0.13073518786127167
3,2016,Income,INC64,5620.0,0.13073518786127167
4,2016,Income,INC65,90625.0,0.1170271463253145
4,2016,Income,INC66,3245.0,0.1170271463253145
4,2016,Income,INC67,87380.0,0.1170271463253145
4,2016,Income,INC68,12630.0,0.1170271463253145
4,2016,Income,INC69,14210.0,0.1170271463253145
4,2016,Income,INC70,10670.0,0.1170271463253145
