Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Scarborough Village,,979,"1,077","1,296","1,077",2016
South Parkdale/King West,804,986,"1,165",,977,2016
St. Andrew-Windfields,851,"1,146","1,380","1,732","1,373",2016
Stonegate-Queensway,872,983,"1,074",,"1,042",2016
Tam O'Shanter-Sullivan,867,"1,041","1,183","1,391","1,149",2016
The Beaches,888,"1,152","1,447","1,961","1,228",2016
Thorncliffe Park,807,"1,042","1,324","1,694","1,231",2016
University/Annex,"1,063","1,340","1,986","2,737","1,473",2016
Uxbridge,,"1,049","1,207",,"1,143",2016
Victoria Village,836,"1,009","1,191","1,408","1,094",2016
Waterfront Communities -The Island,,"1,697","2,352",,"1,981",2016
West Hill,778,967,"1,064","1,185","1,068",2016
West Humber-Clairville,858,981,"1,096",,"1,180",2016
Westminster-Branson,883,"1,133","1,353","1,526","1,324",2016
Weston,762,968,"1,162",,"1,044",2016
Wexford-Maryvale,807,982,"1,170","1,280","1,069",2016
Whitchurch/Stouffville,,"1,112","1,179",,"1,153",2016
Willowdale East/Newtonbrook East,,"1,383","1,714","2,265","1,592",2016
Willowdale West/Newtonbrook West,,"1,204","1,397","1,564","1,325",2016
Willowridge-Martingrove-Richview,,"1,107","1,477","1,652","1,449",2016
Woburn,828,985,"1,118","1,239","1,092",2016
Woodbine Corridor/Greenwood-Coxwell,,,,,,2016
Woodbine-Lumsden,,"1,019",,,"1,094",2016
Wychwood,,"1,298",,,"1,236",2016
Yonge-Eglinton,"1,015","1,290","1,616",,"1,320",2016
Yonge-St. Clair,"1,030","1,327","1,773",,"1,566",2016
Yorkdale-Glen Park,,"1,019","1,212","1,349","1,123",2016
Toronto,957,"1,132","1,326","1,525","1,240",2016
Agincourt/Malvern,,,,"1,560","1,320",2017
Ajax/Pickering,,969,"1,105","1,313","1,193",2017
Alderwood,,997,"1,361",,"1,288",2017
Aurora,,"1,200","1,402",,"1,369",2017
Banbury-Don Mills/York Mills,734,"1,055","1,161","1,245","1,090",2017
Bathurst Manor,845,"1,153","1,312","1,496","1,290",2017
Bay Street Corridor,"1,498","1,900","2,782",,"2,112",2017
Bayview Village,,"1,370","1,614",,"1,539",2017
Bayview Woods-Steeles/Hillcrest Village,,,,,,2017
Bedford Park-Nortown,848,"1,049","1,355",,"1,198",2017
Beechborough-Greenbrook,740,937,"1,176",,"1,053",2017
Bendale,896,"1,067","1,165","1,325","1,192",2017
Birchcliffe-Cliffside,914,"1,117","1,358",,"1,225",2017
Black Creek,931,"1,023","1,176","1,397","1,184",2017
Bradford/West Gwillimbury/New Tecumseth,876,938,"1,127",,"1,057",2017
Brampton (East),,"1,237","1,358","1,458","1,340",2017
Brampton (West),834,"1,059","1,219","1,421","1,183",2017
Briar Hill-Belgravia,762,"1,024","1,301",,"1,130",2017
Broadview North,892,"1,155","1,375","1,427","1,199",2017
Bronte,,"1,339","1,540",,"1,471",2017
Brookhaven-Amesbury,818,"1,020","1,219","1,446","1,180",2017
Cabbagetown-South St. James Town,"1,021","1,448","1,813",,"1,466",2017
Caledon,,,,,,2017
Caledonia-Fairbank,843,"1,000","1,224",,"1,087",2017
Casa Loma,"1,031","1,419","2,075","3,187","1,821",2017
Churchill Meadows/Erin Mills,978,"1,084","1,249","1,759","1,391",2017
Church-Yonge Corridor,"1,171","1,486","1,947",,"1,489",2017
Clairlea-Birchmount,880,961,"1,180",,"1,036",2017
Clanton Park,885,"1,078","1,252",,"1,140",2017
Clarkson/Lorne Park,905,"1,147","1,282","1,349","1,237",2017
Cliffcrest,,"1,057","1,183","1,325","1,146",2017
Cooksville,925,"1,086","1,257","1,412","1,183",2017
Crescent Town,832,"1,037","1,264","1,487","1,129",2017
Danforth Village-East York,822,"1,010","1,199",,"1,059",2017
