Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Humewood-Cedarvale,"1,060","1,527","2,175","3,034","1,727",2019
Ionview,941,"1,182","1,369","1,555","1,288",2019
Islington/City Centre North,"1,576","1,578","1,712","1,870","1,671",2019
Islington/City Centre South,"1,097","1,162","1,424",,"1,320",2019
Keelesdale-Eglinton West,,974,"1,055",,991,2019
Kennedy Park,755,"1,048","1,258",,"1,182",2019
Kensington-Chinatown,"1,202","1,437","1,907",,"1,539",2019
Kingsview Village-The Westway,,"1,354","1,587","1,914","1,572",2019
Kingsway South,,"1,525","1,901",,"1,731",2019
Lambton Baby Point,768,"1,169","1,620",,"1,333",2019
L'Amoreaux/Steeles/Milliken,,"1,204","1,359","1,499","1,324",2019
Lansing-Westgate,,"1,473","1,607","1,659","1,549",2019
Lawrence Park North,"1,252","1,302","1,616",,"1,424",2019
Lawrence Park South,"1,123","1,380","1,933",,"1,483",2019
Leaside-Bennington,"1,178","1,414","1,994",,"1,547",2019
Little Italy/Trinity-Bellwoods,,,,,"1,340",2019
Long Branch,,"1,062","1,209","1,408","1,126",2019
Malton,,928,"1,381","1,393","1,340",2019
Maple Leaf,,"1,252","1,301",,"1,292",2019
Markham,"1,029","1,373","1,544","1,639","1,483",2019
Meadowvale,,"1,470","1,639","1,686","1,590",2019
Milton/Halton Hills,834,"1,117","1,293","1,665","1,239",2019
Mimico,973,"1,272","1,393","1,674","1,260",2019
Mississauga Centre/Streetsville,955,"1,325","1,482","1,727","1,466",2019
Moore Park,"1,531","1,730","2,418",,"1,939",2019
Morningside,882,"1,194","1,311","1,498","1,288",2019
Moss Park/Regent Park,978,"1,326","1,758","2,046","1,314",2019
Mount Dennis,"1,035","1,251","1,274",,"1,271",2019
Mount Olive-Silverstone-Jamestown/Thistletown,,"1,249","1,312","1,422","1,342",2019
Mount Pleasant East,"1,220","1,523","1,981",,"1,651",2019
Mount Pleasant West,"1,283","1,560","1,978","2,437","1,610",2019
New Toronto,716,"1,036","1,213",,"1,048",2019
North St. James Town,"1,079",,,,,2019
Oakridge,,"1,354","1,665",,"1,427",2019
Oakville (excl. Bronte),"1,119","1,358","1,564","1,972","1,546",2019
Oakwood-Vaughan,994,"1,275","1,603",,"1,328",2019
O'Connor-Parkview,874,"1,144","1,397","1,840","1,306",2019
Old East York,909,"1,099","1,330",,"1,164",2019
Orangeville/Mono,,"1,031","1,275","1,188","1,160",2019
Parkwoods-Donalda,"1,115","1,342","1,541","1,708","1,530",2019
Playter Estates-Danforth,932,"1,278","1,623",,"1,272",2019
Port Credit,"1,018","1,208","1,402","1,643","1,318",2019
Princess-Rosethorn,,,,,,2019
Rexdale-Kipling,734,968,"1,145","1,385","1,170",2019
Richmond Hill/Vaughan/King,"1,011","1,211","1,439","1,617","1,345",2019
Riverdale,,"1,320",,,"1,301",2019
Rockcliffe-Smythe,863,"1,015","1,171","1,394","1,096",2019
Roncesvalles,913,"1,104","1,426",,"1,185",2019
Rosedale,,"1,536","2,118",,"1,846",2019
Rouge,,,"1,320","1,503","1,334",2019
Rustic/Pelmo Park/Humberlea,,,,,,2019
Scarborough Village,,"1,297","1,439","1,629","1,426",2019
South Parkdale/King West,964,"1,212","1,423",,"1,194",2019
St. Andrew-Windfields,"1,011","1,357","1,571","1,805","1,537",2019
Stonegate-Queensway,,"1,229","1,378",,"1,314",2019
Tam O'Shanter-Sullivan,"1,063","1,183","1,351","1,538","1,304",2019
The Beaches,916,"1,251","1,563",,"1,318",2019
Thorncliffe Park,982,"1,170","1,470","1,820","1,367",2019
University/Annex,"1,264","1,680","2,198",,"1,698",2019
Uxbridge,,"1,102","1,505",,"1,293",2019
Victoria Village,"1,068","1,242","1,477","1,854","1,371",2019
Waterfront Communities -The Island,,"2,023","2,920",,"2,398",2019
West Hill,,"1,168","1,286","1,341","1,268",2019
West Humber-Clairville,896,"1,183","1,277","1,681","1,358",2019
Westminster-Branson,"1,069","1,351","1,540","1,697","1,503",2019
Weston,"1,062","1,283","1,417","1,603","1,342",2019
Wexford-Maryvale,"1,028","1,151","1,341","1,510","1,252",2019
Whitchurch/Stouffville,,,"1,222",,"1,197",2019
Willowdale East/Newtonbrook East,,"1,539","1,916","2,260","1,739",2019
Willowdale West/Newtonbrook West,"1,132","1,397","1,583","1,792","1,512",2019
Willowridge-Martingrove-Richview,,"1,443","1,878","2,082","1,855",2019
Woburn,"1,004","1,229","1,397","1,448","1,349",2019
Woodbine Corridor/Greenwood-Coxwell,849,"1,177","1,427",,"1,107",2019
Woodbine-Lumsden,,,,,,2019
Wychwood,,"1,231",,,"1,240",2019
Yonge-Eglinton,"1,230","1,503","2,035",,"1,560",2019
Yonge-St. Clair,"1,211","1,504","2,058",,"1,743",2019
Yorkdale-Glen Park,,"1,147","1,426","1,572","1,306",2019
Toronto,"1,142","1,361","1,563","1,730","1,465",2019
Agincourt/Malvern,,"1,237","1,395","1,589","1,408",2020
Ajax/Pickering,,"1,198","1,362","1,506","1,412",2020
Alderwood,,"1,238","1,451",,"1,409",2020
Aurora,,"1,296","1,543",,"1,492",2020
Banbury-Don Mills/York Mills,933,"1,465","1,701","2,018","1,629",2020
Bathurst Manor,,"1,379","1,496","1,645","1,483",2020
Bay Street Corridor,"1,711","2,196","3,288",,"2,483",2020
Bayview Village,,"1,579","1,821",,"1,830",2020
Bayview Woods-Steeles/Hillcrest Village,,,,,,2020
Bedford Park-Nortown,"1,037","1,246","1,655","2,137","1,429",2020
Beechborough-Greenbrook,"1,146","1,072","1,331",,"1,206",2020
Bendale,"1,195","1,243","1,356","1,482","1,373",2020
Birchcliffe-Cliffside,976,"1,393","1,558",,"1,466",2020
Black Creek,"1,091","1,281","1,433","1,647","1,421",2020
Bradford/West Gwillimbury/New Tecumseth,962,"1,003","1,197","1,493","1,128",2020
Brampton (East),,"1,459","1,591","1,656","1,562",2020
Brampton (West),966,"1,262","1,447","1,642","1,389",2020
Briar Hill-Belgravia,"1,030","1,428","1,509",,"1,480",2020
Broadview North,"1,098","1,398","1,558",,"1,422",2020
Bronte,,"1,568","1,802",,"1,718",2020
Brookhaven-Amesbury,945,"1,332","1,491",,"1,440",2020
Cabbagetown-South St. James Town,"1,040","1,476","2,054",,"1,541",2020
Caledon,,,,,,2020
Caledonia-Fairbank,906,"1,130","1,325",,"1,206",2020
Casa Loma,"1,330","1,609","2,301","3,837","2,005",2020
Churchill Meadows/Erin Mills,"1,385","1,558","1,708","1,969","1,749",2020
Church-Yonge Corridor,"1,409","1,692","2,129",,"1,691",2020
Clairlea-Birchmount,,"1,167","1,339",,"1,219",2020
Clanton Park,"1,088","1,383","1,554",,"1,454",2020
Clarkson/Lorne Park,"1,014","1,298","1,421","1,556","1,390",2020
Cliffcrest,,"1,314","1,482","1,652","1,434",2020
Cooksville,984,"1,374","1,581","1,722","1,495",2020
Crescent Town,"1,010","1,232","1,466","1,717","1,326",2020
Danforth Village-East York,955,"1,257","1,395",,"1,296",2020
Don Valley Village/Pleasant View,"1,075","1,442","1,579","1,720","1,567",2020
Dorset Park,,"1,476","1,683","2,055","1,628",2020
Dovercourt/Davenport/Junction,,"1,106","1,523",,"1,354",2020
Downsview,930,"1,192","1,353","1,543","1,303",2020
Dufferin Grove/Little Portugal,,"1,326","1,738",,"1,380",2020
East End-Danforth,"1,135","1,378","1,527",,"1,407",2020
East Gwillimbury/Newmarket,757,"1,378","1,482",,"1,391",2020
Edenbridge-Humber Valley,,"1,519","1,833","2,483","1,842",2020
Eglinton East,"1,291","1,197","1,383","1,723","1,397",2020
Elms-Old Rexdale,,"1,460","1,839","2,223","1,871",2020
Englemount-Lawrence,"1,013","1,242","1,485","1,809","1,407",2020
Eringate-Centennial-West Deane,,,"1,534",,"1,513",2020
Etobicoke West Mall,,"1,431","1,681","1,928","1,669",2020
Flemingdon Park,,"1,361","1,525","1,640","1,474",2020
Forest Hill North,"1,199","1,468","1,714","2,169","1,613",2020
Forest Hill South,"1,150","1,463","1,880",,"1,598",2020
Georgina,,834,"1,095",,"1,211",2020
Guildwood,,,,"1,948","1,511",2020
Henry Farm,,"1,491","1,849","1,939","1,733",2020
High Park North/Junction,"1,191","1,531","1,996","2,740","1,613",2020
High Park-Swansea,,"1,315",,,"1,212",2020
Humber Heights-Westmount,,"1,513","1,701","1,793","1,657",2020
Humewood-Cedarvale,"1,097","1,530","2,319",,"1,822",2020
Ionview,"1,044","1,312","1,481","1,582","1,398",2020
Islington/City Centre North,"1,424","1,525","1,732","1,907","1,658",2020
Islington/City Centre South,"1,179",,"1,530",,"1,465",2020
Keelesdale-Eglinton West,,,"1,202",,,2020
Kennedy Park,809,"1,256","1,514","1,521","1,383",2020
Kensington-Chinatown,,"1,513",,,"1,527",2020
Kingsview Village-The Westway,,"1,298","1,494","1,746","1,482",2020
Kingsway South,,,,,,2020
Lambton Baby Point,835,,,,,2020
L'Amoreaux/Steeles/Milliken,,"1,251","1,407","1,598","1,365",2020
Lansing-Westgate,"1,130","1,491","1,679","1,875","1,613",2020
Lawrence Park North,"1,293","1,468","1,830",,"1,562",2020
Lawrence Park South,"1,185","1,456","2,092",,"1,587",2020
Leaside-Bennington,"1,045","1,359","1,926",,"1,520",2020
Little Italy/Trinity-Bellwoods,808,,,,"1,386",2020
Long Branch,"1,068","1,143","1,212",,"1,171",2020
Malton,,"1,245","1,469","1,463","1,457",2020
Maple Leaf,,"1,279","1,400",,"1,376",2020
Markham,,"1,439","1,600","1,668","1,541",2020
Meadowvale,,"1,540","1,700","1,745","1,655",2020
Milton/Halton Hills,835,"1,172","1,343","1,625","1,287",2020
Mimico,"1,104","1,344","1,570",,"1,376",2020
Mississauga Centre/Streetsville,"1,055","1,399","1,568","1,816","1,544",2020
Moore Park,"1,416","1,724","2,472","3,233","1,911",2020
Morningside,"1,282","1,318","1,409","1,596","1,400",2020
Moss Park/Regent Park,"1,112","1,424","1,657",,"1,430",2020
Mount Dennis,"1,005","1,344","1,412",,"1,384",2020
Mount Olive-Silverstone-Jamestown/Thistletown,,"1,463","1,563","1,725","1,597",2020
Mount Pleasant East,"1,225","1,498","2,015","2,296","1,621",2020
Mount Pleasant West,"1,346","1,626","2,080","2,505","1,695",2020
New Toronto,938,"1,212","1,398",,"1,274",2020
North St. James Town,"1,281","1,515",,,,2020
Oakridge,"1,180","1,314","1,533",,"1,365",2020
Oakville (excl. Bronte),"1,178","1,441","1,732","2,063","1,689",2020
Oakwood-Vaughan,"1,072","1,466","1,747",,"1,464",2020
O'Connor-Parkview,"1,007","1,194","1,383","1,629","1,323",2020
Old East York,"1,114","1,327","1,502",,"1,390",2020
Orangeville/Mono,,"1,117","1,468",,"1,274",2020
Parkwoods-Donalda,"1,305","1,434","1,627","1,865","1,630",2020
Playter Estates-Danforth,"1,159","1,380","1,676",,"1,414",2020
Port Credit,970,"1,310","1,467",,"1,393",2020
Princess-Rosethorn,,,,,,2020
Rexdale-Kipling,"1,071","1,021","1,130","1,366","1,181",2020
Richmond Hill/Vaughan/King,"1,109","1,383","1,591","1,842","1,500",2020
Riverdale,,"1,380","1,780",,"1,363",2020
Rockcliffe-Smythe,"1,004","1,248","1,440","1,605","1,345",2020
Roncesvalles,"1,036","1,255",,,"1,241",2020
Rosedale,,"1,532",,,,2020
Rouge,,,,,,2020
Rustic/Pelmo Park/Humberlea,,,,,,2020
Scarborough Village,,"1,381","1,509","1,584","1,478",2020
South Parkdale/King West,"1,038","1,343","1,639",,"1,343",2020
St. Andrew-Windfields,"1,062","1,419","1,646","1,886","1,605",2020
Stonegate-Queensway,912,"1,258","1,517",,"1,421",2020
Tam O'Shanter-Sullivan,"1,121","1,258","1,378","1,568","1,354",2020
The Beaches,974,"1,232","1,732","2,179","1,386",2020
Thorncliffe Park,"1,258","1,276","1,603","1,989","1,492",2020
University/Annex,"1,344","1,605","2,207","2,952","1,696",2020
Uxbridge,,"1,174","1,398",,"1,285",2020
Victoria Village,"1,023","1,317","1,578","2,184","1,464",2020
Waterfront Communities -The Island,,"1,975","2,826",,"2,334",2020
West Hill,,"1,403","1,488","1,585","1,477",2020
West Humber-Clairville,907,"1,114","1,389","1,956","1,494",2020
Westminster-Branson,"1,126","1,410","1,614","1,807","1,587",2020
Weston,"1,032","1,286","1,517","1,894","1,371",2020
Wexford-Maryvale,"1,117","1,237","1,380","1,442","1,304",2020
Whitchurch/Stouffville,,,,,,2020
Willowdale East/Newtonbrook East,,"1,597","1,867",,"1,688",2020
Willowdale West/Newtonbrook West,,"1,518","1,738","1,986","1,655",2020
Willowridge-Martingrove-Richview,,"1,629","2,000","2,069","1,961",2020
Woburn,"1,003","1,261","1,415","1,525","1,385",2020
Woodbine Corridor/Greenwood-Coxwell,741,"1,098","1,373",,"1,083",2020
Woodbine-Lumsden,"1,082",,,,,2020
Wychwood,,,,,,2020
Yonge-Eglinton,"1,304","1,550","1,900",,"1,585",2020
Yonge-St. Clair,"1,315",,"1,888","3,093","1,911",2020
Yorkdale-Glen Park,,"1,209","1,409","1,457","1,321",2020
Toronto,"1,204","1,421","1,637","1,854","1,536",2020
Agincourt/Malvern,,"1,268","1,435","1,729","1,485",2021
Ajax/Pickering,,965,"1,302","1,563","1,394",2021
Alderwood,,,"1,536",,"1,505",2021
Aurora,,"1,326","1,668",,"1,586",2021
Banbury-Don Mills/York Mills,874,"1,404","1,655","1,969","1,578",2021
Bathurst Manor,,"1,341","1,520","1,607","1,475",2021
Bay Street Corridor,"1,650","2,182","3,327","5,212","2,500",2021
Bayview Village,,"1,530","1,856",,"1,855",2021
Bayview Woods-Steeles/Hillcrest Village,,"1,900","2,360","2,775","2,388",2021
Bedford Park-Nortown,983,"1,246","1,643","2,081","1,413",2021
Beechborough-Greenbrook,,"1,066","1,128",,"1,098",2021
Bendale,,"1,141","1,241","1,317","1,249",2021
Birchcliffe-Cliffside,,"1,466","1,676",,"1,567",2021
Black Creek,"1,018","1,178","1,422","1,562","1,384",2021
Bradford/West Gwillimbury/New Tecumseth,"1,083","1,027","1,274",,"1,190",2021
Brampton (East),"1,237","1,501","1,654","1,741","1,616",2021
Brampton (West),872,"1,309","1,494","1,721","1,431",2021
Briar Hill-Belgravia,"1,021","1,317","1,506","1,968","1,447",2021
Broadview North,"1,071","1,338","1,584","2,359","1,385",2021
Bronte,,"1,569","1,807","2,009","1,720",2021
Brookhaven-Amesbury,"1,071","1,248","1,484","1,981","1,426",2021
Cabbagetown-South St. James Town,"1,184","1,458","1,832",,"1,474",2021
Caledon,,,,,,2021
Caledonia-Fairbank,,"1,203","1,389",,"1,279",2021
Casa Loma,"1,254","1,773","2,352",,"2,102",2021
Churchill Meadows/Erin Mills,"1,258","1,514","1,594","1,944","1,681",2021
Church-Yonge Corridor,"1,375","1,648","2,118",,"1,670",2021
Clairlea-Birchmount,,"1,270","1,466",,"1,339",2021
Clanton Park,,"1,488","1,683",,"1,564",2021
Clarkson/Lorne Park,"1,020","1,378","1,514","1,489","1,449",2021
Cliffcrest,,"1,183","1,358","1,665","1,311",2021
Cooksville,"1,160","1,488","1,677","1,832","1,594",2021
Crescent Town,"1,013","1,216","1,458","1,759","1,320",2021
Danforth Village-East York,"1,121","1,277","1,462",,"1,329",2021
Don Valley Village/Pleasant View,,"1,375","1,539","1,759","1,534",2021
Dorset Park,"1,089","1,524","1,801","2,192","1,733",2021
Dovercourt/Davenport/Junction,"1,243","1,417","1,629",,"1,514",2021
Downsview,996,"1,246","1,417","1,627","1,375",2021
Dufferin Grove/Little Portugal,"1,343","1,407","1,795",,"1,474",2021
East End-Danforth,"1,072","1,366","1,534",,"1,368",2021
East Gwillimbury/Newmarket,754,"1,273","1,370",,"1,276",2021
Edenbridge-Humber Valley,973,"1,610","1,908","2,437","1,873",2021
Eglinton East,"1,008","1,259","1,390","1,816","1,430",2021
Elms-Old Rexdale,,,,"2,031","1,835",2021
Englemount-Lawrence,"1,113","1,301","1,488","1,861","1,460",2021
Eringate-Centennial-West Deane,,"1,459","1,568",,"1,538",2021
Etobicoke West Mall,,"1,432","1,672","1,904","1,663",2021
Flemingdon Park,,"1,291","1,429","1,702","1,422",2021
Forest Hill North,"1,264","1,461","1,811","2,255","1,661",2021
Forest Hill South,"1,122","1,413","1,965",,"1,647",2021
Georgina,,,,,,2021
Guildwood,,,,,,2021
Henry Farm,,"1,529","2,005","2,402","1,854",2021
High Park North/Junction,"1,268","1,623","2,172","2,899","1,786",2021
High Park-Swansea,,"1,457",,,"1,513",2021
Humber Heights-Westmount,,,,,,2021
Humewood-Cedarvale,"1,195","1,535","2,414",,"1,835",2021
Ionview,"1,209","1,373","1,560","1,717","1,471",2021
Islington/City Centre North,"1,381","1,529","1,686","1,886","1,641",2021
Islington/City Centre South,"1,120",,"1,631",,"1,604",2021
Keelesdale-Eglinton West,,,"1,217",,"1,206",2021
Kennedy Park,899,"1,151","1,229",,"1,185",2021
Kensington-Chinatown,,,,,,2021
Kingsview Village-The Westway,,"1,367","1,521","1,734","1,515",2021
Kingsway South,,,,,,2021
Lambton Baby Point,951,"1,219",,,"1,232",2021
L'Amoreaux/Steeles/Milliken,,"1,293","1,454","1,629","1,397",2021
Lansing-Westgate,,"1,540","1,734","1,915","1,664",2021
Lawrence Park North,"1,246","1,376","1,759",,"1,477",2021
Lawrence Park South,"1,251","1,574","2,105",,"1,650",2021
Leaside-Bennington,"1,203","1,394","1,824",,"1,485",2021
Little Italy/Trinity-Bellwoods,788,,,,,2021
Long Branch,,"1,173","1,177",,"1,173",2021
Malton,,"1,280","1,516","1,535","1,471",2021
Maple Leaf,,"1,396","1,592","2,275","1,547",2021
Markham,,"1,421","1,547","1,727","1,503",2021
Meadowvale,,"1,554","1,734","1,831","1,685",2021
Milton/Halton Hills,844,"1,211","1,385","1,638","1,327",2021
Mimico,"1,123","1,311","1,425","1,963","1,332",2021
Mississauga Centre/Streetsville,"1,077","1,424","1,621","1,904","1,604",2021
Moore Park,"1,240","1,798","2,679",,"1,988",2021
Morningside,"1,328","1,269","1,380","1,570","1,363",2021
Moss Park/Regent Park,"1,140","1,470","1,999","1,912","1,422",2021
Mount Dennis,"1,036","1,296","1,344",,"1,330",2021
Mount Olive-Silverstone-Jamestown/Thistletown,980,"1,528","1,553","1,645","1,576",2021
Mount Pleasant East,"1,231","1,551","1,945",,"1,619",2021
Mount Pleasant West,"1,348","1,646","2,120","2,546","1,712",2021
New Toronto,973,"1,251","1,462",,"1,306",2021
North St. James Town,"1,198","1,489",,,,2021
Oakridge,"1,199","1,386","1,725",,"1,521",2021
Oakville (excl. Bronte),"1,229","1,471","1,799","1,958","1,712",2021
Oakwood-Vaughan,978,"1,258","1,603",,"1,313",2021
O'Connor-Parkview,"1,064","1,185","1,408","1,636","1,327",2021
Old East York,"1,178","1,134",,,"1,156",2021
Orangeville/Mono,,"1,182","1,400","1,529","1,301",2021
Parkwoods-Donalda,"1,282","1,456","1,680","1,959","1,668",2021
Playter Estates-Danforth,,"1,315",,,"1,324",2021
Port Credit,"1,124","1,331","1,509","1,783","1,425",2021
Princess-Rosethorn,,,,,,2021
Rexdale-Kipling,"1,009","1,122","1,315","1,347","1,264",2021
Richmond Hill/Vaughan/King,"1,180","1,341","1,538","1,960","1,473",2021
Riverdale,"1,208","1,415","1,779",,"1,473",2021
Rockcliffe-Smythe,997,"1,147","1,358",,"1,238",2021
Roncesvalles,,"1,320","1,696",,"1,417",2021
Rosedale,,"1,934","2,712",,,2021
Rouge,,,"1,358","1,565","1,374",2021
Rustic/Pelmo Park/Humberlea,,,,,,2021
Scarborough Village,,"1,292","1,433","1,654","1,427",2021
South Parkdale/King West,"1,053","1,300","1,561",,"1,309",2021
St. Andrew-Windfields,"1,068","1,384","1,644","1,887","1,606",2021
Stonegate-Queensway,"1,128","1,311","1,517",,"1,420",2021
Tam O'Shanter-Sullivan,"1,133","1,329","1,472","1,699","1,444",2021
The Beaches,"1,114","1,355","1,769",,"1,449",2021
Thorncliffe Park,"1,114","1,288","1,598","1,963","1,493",2021
University/Annex,"1,327","1,633","2,174",,"1,703",2021
Uxbridge,,"1,249","1,501",,"1,394",2021
Victoria Village,"1,035","1,303","1,539","2,019","1,436",2021
Waterfront Communities -The Island,,"1,951","2,393",,"2,087",2021
West Hill,,"1,348","1,419","1,581","1,416",2021
West Humber-Clairville,930,"1,307","1,434",,"1,618",2021
Westminster-Branson,"1,158","1,454","1,654","1,838","1,633",2021
Weston,"1,066","1,319","1,467","1,854","1,391",2021
Wexford-Maryvale,"1,136","1,223","1,410","1,546","1,325",2021
Whitchurch/Stouffville,,,,,,2021
Willowdale East/Newtonbrook East,,"1,592","2,006","2,405","1,821",2021
Willowdale West/Newtonbrook West,"1,185","1,429","1,679","1,900","1,587",2021
Willowridge-Martingrove-Richview,,"1,564","1,960","2,142","1,953",2021
Woburn,"1,059","1,306","1,468","1,593","1,435",2021
Woodbine Corridor/Greenwood-Coxwell,"1,006","1,455","1,483",,"1,383",2021
Woodbine-Lumsden,,"1,228",,,"1,316",2021
Wychwood,"1,017","1,135",,,,2021
Yonge-Eglinton,"1,213","1,461","1,814",,"1,519",2021
Yonge-St. Clair,"1,398","1,641","2,155",,"1,803",2021
Yorkdale-Glen Park,,"1,231","1,494","1,575","1,371",2021
Toronto,"1,217","1,439","1,680","1,918","1,570",2021
