Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
06 199220 BLD,New Building,Mixed Use/Res w Non Res,New Building,230,BLOOR,ST,W,M5S,8408560,S1127,2006-12-21,2010-01-22,,Inspection,"Proposed 32 Storey Residential - 262 Unit , with Ground Floor Retail and 4 levels of underground parking. See Site Plan Approval. Approval Pending at application intake. Applicants applying as Incomplete Application with 60% of Permit Fees ( Total $695,422) $417,253.4 submitted. Also Shoring. Wade Tam familiar.",77000000
07 102124 BLD,New Houses,SFD - Detached,New Building,55,EDENBROOK,HILL, ,M9A,11336013,W0229,2007-01-12,2007-02-09,,Inspection,erect a new two storey single family dwelling,900000
07 105725 BLD,New Houses,SFD - Detached,New Building,88 A,EDENBRIDGE,DR, ,M9A,7796529,W0230,2007-01-30,2007-05-28,,Inspection,To construct a new two storey detached SFD,800000
07 107541 BLD,New Houses,SFD - Semi-Detached,New Building,110,POPLAR PLAINS,RD, ,   ,20112714,S1237,2007-02-07,2007-04-02,,Inspection,Construct new 2-storey SFD semi.,800000
07 111888 BLD,New Houses,SFD - Detached,New Building,4,CALDY,CRT, ,M2L,495347,N1521,2007-02-27,2007-03-14,,Inspection,Two storey dwelling - Demo 06 175801,587400
07 113907 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,260,RICHMOND,ST,W,M5V,7930466,S1030,2007-03-07,2007-06-12,,Permit Issued,Interior alterations - Freight Elevator Upgrade for 260 Richmond St W - 5 storey elevator,700000
07 114651 BLD,Building Additions/Alterations,Multiple Unit Building,Interior Alterations,49-51,OSSINGTON,AVE, ,M6J,10558293,S1021,2007-03-09,2007-10-29,,Inspection,"Interior alterations to all 3 floors of exisitng mixed use building.  Ground floor alterations to retail space,  & alterations to residential units on floors 2 & 3 (2 residential units per floor).  See original fire damage  permit & revision 05 212049.  49 Ossington Ave.",600000
07 114757 BLD,New Houses,SFD - Detached,New Building,4,KEREVEN,ST, ,M5M,533371,N0824,2007-03-09,2007-04-23,,Inspection,Two storey dwelling.,600000
07 116443 BLD,New Houses,SFD - Detached,New Building,197,ROSEMARY,RD, ,M5P,861771,S1225,2007-03-16,2007-06-13,,Inspection,Proposal to construct 2 storey SFD Detatched. See Demo Permit 07116438.  See OMB file PL 060210.,750000
07 117736 BLD,New Houses,SFD - Detached,New Building,132,WARREN,RD, ,M4V,880048,S1231,2007-03-22,2007-03-29,,Inspection,Construct new 2-storey SFD.,1000000
07 120201 BLD,New Building,Mixed Use/Res w Non Res,New Building,127,QUEEN,ST,E,M5C,11273053,S1334,2007-03-26,2009-11-26,,Inspection,Construct a 12-storey mixed-use building containing 86 dwelling units and retail at grade.see 07 113026 ZPR for ppr.,10725000
07 122630 BLD,New Building,Mixed Use/Res w Non Res,New Building,770,BAY,ST, ,M5G,7792585,S1145,2007-03-27,2009-12-31,,Inspection,Proposal to construct 30 sty condo with commerical on ground floor and 5 levels of below grade parking 329 Residential Units & 2 Dwelling rooms (Guest Suits)} SEE NEW DESCIPTION BELOW.Jan. 26/09 Revised Plans with 2 additional Floors with 26 additional Dwelling Units.Proposed building now is 32 storey with a total of 355 Dwelling units and 2 Guest Suites.  TF,42000000
07 127176 BLD,New Building,Apartment Building,New Building,5793,YONGE,ST, ,M2M,20143777,N1823,2007-03-29,2008-12-18,,Inspection,Twenty-Four storey 208 unit residential condominium South TowerTwenty-Four storey 208 unit residential condominium South TowerRefer to 07 127596 for north tower superstructure,26000000
07 127596 BLD,New Building,Apartment Building,New Building,5793,YONGE,ST, ,M2M,20143777,N1823,2007-03-29,2008-12-18,,Inspection,Twenty-Two storey 184 unit residential condominium North TowerRefer to 07 127176 for South tower superstructure which includes all fees,20290000
07 128012 BLD,New Building,Apartment Building,New Building,90,STADIUM,RD, ,M5V,14258853,S1035,2007-03-29,2010-06-02,,Inspection,"Proposed 23 storey tower & 9 storey podium building (total 364 dwelling units & 2 Guest Sutes), with 3 levels of underground parking. Formerly 637 Lake Shore Blvd W. \BIN 2198",20000000
07 128555 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,2,FIELDWAY,RD, ,M8Z,7792402,W0325,2007-03-29,2007-12-14,,Inspection,Interior alterations to convert existing office building to loft condominiums                                                                                                                                                                                                                                                                ,20000000
07 128713 BLD,New Houses,SFD - Detached,New Building,157,MUNRO,BLVD, ,M2P,544500,N1521,2007-03-29,2007-04-20,,Inspection,2 storey,552000
07 128752 BLD,New Building,Mixed Use/Res w Non Res,New Building,126,SIMCOE,ST, ,   ,868444,S1030,2007-03-29,2010-06-09,,Inspection,"Phase 2 : Proposed 35 storey residential tower with ground floor retail, and 5 levels of below grade parking. ( Phase 1: #11 Nelson St, #06-180496 BLD 00 NB) ",22000000
07 129092 BLD,New Houses,SFD - Detached,New Building,15,BANBURY,RD, ,M3B,10364146,N1524,2007-03-29,2007-07-31,,Inspection,2-storey dwelling,900000
07 129713 BLD,New Houses,Stacked Townhouses,New Building,825,DUNDAS,ST,E,   ,20097915,S1434,2007-03-30,2008-10-14,,Inspection,"Permit to construct (187) 3 storey Stacked Town Homes - (Blocks 1 to 7) with 1 level below grade parking.  Fee based on 15281.8 sq/m Group C, 187 Units Brownfields fee @ $ 41.30 per unit, 6406 sq/m for Group F, and 6406 sq/m SprinklersSEE EMAIL DATED JUNE 1/09 - PARKS LEVY FEES WERE PAID BY 2 LETTERS OF CREDIT",23000000
07 130656 BLD,New Building,Mixed Use/Res w Non Res,New Building,1003,QUEEN,ST,E,M4M,12735118,S1441,2007-03-30,2008-06-23,,Inspection,Proposal to construct a new 4 1/2 storey Commercial / Residential building with 10 residentail units and 2 commercial units. - PLEASE READ BUILDING SERVICE MEMO IN STRUCTURE FILE.  LARGE SET OF DRAWINGS ON TOP OF CABINET,1300000
07 132212 BLD,New Building,Mixed Use/Res w Non Res,New Building,1379,BLOOR,ST,W,M6P,11981439,S0933,2007-03-30,2010-06-18,,Inspection,"Proposed community centre and 85 Unit Stacked townhouses, with below grade parking. This is Phase 3 & 4 of a 4 Phase Project.",10500000
07 132395 BLD,New Houses,Stacked Townhouses,New Building,651,WARDEN,AVE, ,M1L,395724,E2029,2007-03-30,2010-02-10,,Inspection,to construct stacked townhouses Block B (18 units),3500000
07 138494 BLD,New Houses,SFD - Detached,New Building,51,FIFESHIRE,RD, ,M2L,11541579,N1521,2007-04-04,2007-05-02,,Inspection,Two storey dwelling,926250
