Employment,Ward_ID,Population,Year
Natural and applied sciences and related occupations,Ward 10,9675,2016
Health occupations,Ward 10,4250,2016
"Occupations in education, law and social, community and government services",Ward 10,10270,2016
"Occupations in art, culture, recreation and sport",Ward 10,7375,2016
Sales and service occupations,Ward 10,15140,2016
"Trades, transport and equipment operators and related occupations",Ward 10,2165,2016
"Natural resources, agriculture and related production occupations",Ward 10,150,2016
Occupations in manufacturing and utilities,Ward 10,590,2016
All occupations,Ward 11,60710,2016
Management occupations,Ward 11,8575,2016
"Business, finance and administration occupations",Ward 11,11055,2016
Natural and applied sciences and related occupations,Ward 11,5105,2016
Health occupations,Ward 11,3830,2016
"Occupations in education, law and social, community and government services",Ward 11,11700,2016
"Occupations in art, culture, recreation and sport",Ward 11,6555,2016
Sales and service occupations,Ward 11,11345,2016
"Trades, transport and equipment operators and related occupations",Ward 11,1785,2016
"Natural resources, agriculture and related production occupations",Ward 11,215,2016
Occupations in manufacturing and utilities,Ward 11,555,2016
All occupations,Ward 12,63125,2016
Management occupations,Ward 12,9135,2016
"Business, finance and administration occupations",Ward 12,12030,2016
Natural and applied sciences and related occupations,Ward 12,4970,2016
Health occupations,Ward 12,3780,2016
"Occupations in education, law and social, community and government services",Ward 12,11745,2016
"Occupations in art, culture, recreation and sport",Ward 12,5025,2016
Sales and service occupations,Ward 12,12440,2016
"Trades, transport and equipment operators and related occupations",Ward 12,2745,2016
"Natural resources, agriculture and related production occupations",Ward 12,295,2016
Occupations in manufacturing and utilities,Ward 12,955,2016
All occupations,Ward 13,62255,2016
Management occupations,Ward 13,8090,2016
"Business, finance and administration occupations",Ward 13,11860,2016
Natural and applied sciences and related occupations,Ward 13,6030,2016
Health occupations,Ward 13,3515,2016
"Occupations in education, law and social, community and government services",Ward 13,9420,2016
"Occupations in art, culture, recreation and sport",Ward 13,5200,2016
Sales and service occupations,Ward 13,14935,2016
"Trades, transport and equipment operators and related occupations",Ward 13,2315,2016
"Natural resources, agriculture and related production occupations",Ward 13,190,2016
Occupations in manufacturing and utilities,Ward 13,710,2016
All occupations,Ward 14,60080,2016
Management occupations,Ward 14,8710,2016
"Business, finance and administration occupations",Ward 14,10025,2016
Natural and applied sciences and related occupations,Ward 14,4330,2016
Health occupations,Ward 14,2865,2016
"Occupations in education, law and social, community and government services",Ward 14,9885,2016
"Occupations in art, culture, recreation and sport",Ward 14,6400,2016
Sales and service occupations,Ward 14,12950,2016
"Trades, transport and equipment operators and related occupations",Ward 14,3475,2016
"Natural resources, agriculture and related production occupations",Ward 14,340,2016
Occupations in manufacturing and utilities,Ward 14,1100,2016
All occupations,Ward 15,51465,2016
Management occupations,Ward 15,8655,2016
"Business, finance and administration occupations",Ward 15,10355,2016
Natural and applied sciences and related occupations,Ward 15,4515,2016
Health occupations,Ward 15,4260,2016
"Occupations in education, law and social, community and government services",Ward 15,7985,2016
"Occupations in art, culture, recreation and sport",Ward 15,2900,2016
Sales and service occupations,Ward 15,9120,2016
"Trades, transport and equipment operators and related occupations",Ward 15,2695,2016
"Natural resources, agriculture and related production occupations",Ward 15,270,2016
Occupations in manufacturing and utilities,Ward 15,725,2016
All occupations,Ward 16,45245,2016
Management occupations,Ward 16,4795,2016
"Business, finance and administration occupations",Ward 16,8655,2016
Natural and applied sciences and related occupations,Ward 16,4150,2016
Health occupations,Ward 16,2505,2016
"Occupations in education, law and social, community and government services",Ward 16,5580,2016
"Occupations in art, culture, recreation and sport",Ward 16,1690,2016
Sales and service occupations,Ward 16,11945,2016
"Trades, transport and equipment operators and related occupations",Ward 16,4250,2016
"Natural resources, agriculture and related production occupations",Ward 16,200,2016
Occupations in manufacturing and utilities,Ward 16,1480,2016
All occupations,Ward 17,54440,2016
Management occupations,Ward 17,5480,2016
"Business, finance and administration occupations",Ward 17,11010,2016
Natural and applied sciences and related occupations,Ward 17,7705,2016
Health occupations,Ward 17,3845,2016
"Occupations in education, law and social, community and government services",Ward 17,6370,2016
"Occupations in art, culture, recreation and sport",Ward 17,1885,2016
Sales and service occupations,Ward 17,12430,2016
"Trades, transport and equipment operators and related occupations",Ward 17,3760,2016
"Natural resources, agriculture and related production occupations",Ward 17,180,2016
Occupations in manufacturing and utilities,Ward 17,1775,2016
All occupations,Ward 18,60495,2016
Management occupations,Ward 18,7990,2016
"Business, finance and administration occupations",Ward 18,12430,2016
Natural and applied sciences and related occupations,Ward 18,8655,2016
Health occupations,Ward 18,4130,2016
"Occupations in education, law and social, community and government services",Ward 18,7645,2016
"Occupations in art, culture, recreation and sport",Ward 18,2540,2016
Sales and service occupations,Ward 18,12480,2016
"Trades, transport and equipment operators and related occupations",Ward 18,3050,2016
"Natural resources, agriculture and related production occupations",Ward 18,230,2016
Occupations in manufacturing and utilities,Ward 18,1335,2016
All occupations,Ward 19,58930,2016
Management occupations,Ward 19,8285,2016
"Business, finance and administration occupations",Ward 19,10210,2016
Natural and applied sciences and related occupations,Ward 19,4580,2016
Health occupations,Ward 19,2945,2016
"Occupations in education, law and social, community and government services",Ward 19,9275,2016
"Occupations in art, culture, recreation and sport",Ward 19,4855,2016
Sales and service occupations,Ward 19,13135,2016
"Trades, transport and equipment operators and related occupations",Ward 19,4190,2016
"Natural resources, agriculture and related production occupations",Ward 19,310,2016
Occupations in manufacturing and utilities,Ward 19,1155,2016
All occupations,Ward 20,53610,2016
Management occupations,Ward 20,4845,2016
"Business, finance and administration occupations",Ward 20,9405,2016
Natural and applied sciences and related occupations,Ward 20,3545,2016
Health occupations,Ward 20,3185,2016
"Occupations in education, law and social, community and government services",Ward 20,6085,2016
"Occupations in art, culture, recreation and sport",Ward 20,2075,2016
Sales and service occupations,Ward 20,15265,2016
"Trades, transport and equipment operators and related occupations",Ward 20,6335,2016
"Natural resources, agriculture and related production occupations",Ward 20,370,2016
Occupations in manufacturing and utilities,Ward 20,2495,2016
All occupations,Ward 21,53320,2016
Management occupations,Ward 21,3805,2016
"Business, finance and administration occupations",Ward 21,9405,2016
Natural and applied sciences and related occupations,Ward 21,3930,2016
Health occupations,Ward 21,3410,2016
"Occupations in education, law and social, community and government services",Ward 21,5170,2016
"Occupations in art, culture, recreation and sport",Ward 21,1150,2016
Sales and service occupations,Ward 21,15835,2016
"Trades, transport and equipment operators and related occupations",Ward 21,6655,2016
"Natural resources, agriculture and related production occupations",Ward 21,305,2016
Occupations in manufacturing and utilities,Ward 21,3655,2016
All occupations,Ward 22,47730,2016
Management occupations,Ward 22,3795,2016
"Business, finance and administration occupations",Ward 22,8305,2016
Natural and applied sciences and related occupations,Ward 22,4565,2016
Health occupations,Ward 22,2770,2016
"Occupations in education, law and social, community and government services",Ward 22,4400,2016
"Occupations in art, culture, recreation and sport",Ward 22,1190,2016
Sales and service occupations,Ward 22,13685,2016
"Trades, transport and equipment operators and related occupations",Ward 22,5095,2016
"Natural resources, agriculture and related production occupations",Ward 22,170,2016
Occupations in manufacturing and utilities,Ward 22,3750,2016
All occupations,Ward 23,46035,2016
Management occupations,Ward 23,3080,2016
"Business, finance and administration occupations",Ward 23,8035,2016
Natural and applied sciences and related occupations,Ward 23,3620,2016
Health occupations,Ward 23,2545,2016
"Occupations in education, law and social, community and government services",Ward 23,3315,2016
"Occupations in art, culture, recreation and sport",Ward 23,970,2016
Sales and service occupations,Ward 23,14340,2016
"Trades, transport and equipment operators and related occupations",Ward 23,4920,2016
"Natural resources, agriculture and related production occupations",Ward 23,170,2016
Occupations in manufacturing and utilities,Ward 23,5040,2016
All occupations,Ward 24,46115,2016
Management occupations,Ward 24,3090,2016
"Business, finance and administration occupations",Ward 24,7990,2016
Natural and applied sciences and related occupations,Ward 24,3260,2016
Health occupations,Ward 24,3055,2016
"Occupations in education, law and social, community and government services",Ward 24,4765,2016
"Occupations in art, culture, recreation and sport",Ward 24,1100,2016
Sales and service occupations,Ward 24,13450,2016
"Trades, transport and equipment operators and related occupations",Ward 24,5620,2016
"Natural resources, agriculture and related production occupations",Ward 24,250,2016
Occupations in manufacturing and utilities,Ward 24,3530,2016
All occupations,Ward 25,51395,2016
Management occupations,Ward 25,4460,2016
"Business, finance and administration occupations",Ward 25,9930,2016
Natural and applied sciences and related occupations,Ward 25,3985,2016
Health occupations,Ward 25,3420,2016
"Occupations in education, law and social, community and government services",Ward 25,5530,2016
"Occupations in art, culture, recreation and sport",Ward 25,1305,2016
Sales and service occupations,Ward 25,13315,2016
"Trades, transport and equipment operators and related occupations",Ward 25,5730,2016
"Natural resources, agriculture and related production occupations",Ward 25,255,2016
Occupations in manufacturing and utilities,Ward 25,3450,2016
All occupations,Toronto,1463585,2021
Management occupations,Toronto,24770,2021
"Business, finance and administration occupations",Toronto,315270,2021
Natural and applied sciences and related occupations,Toronto,159765,2021
Health occupations,Toronto,105465,2021
"Occupations in education, law and social, community and government services",Toronto,181940,2021
"Occupations in art, culture, recreation and sport",Toronto,83135,2021
Sales and service occupations,Toronto,350240,2021
"Trades, transport and equipment operators and related occupations",Toronto,175500,2021
"Natural resources, agriculture and related production occupations",Toronto,8350,2021
Occupations in manufacturing and utilities,Toronto,59145,2021
All occupations,Ward 1,54670,2021
Management occupations,Ward 1,225,2021
"Business, finance and administration occupations",Ward 1,8570,2021
Natural and applied sciences and related occupations,Ward 1,3970,2021
Health occupations,Ward 1,3950,2021
"Occupations in education, law and social, community and government services",Ward 1,4710,2021
"Occupations in art, culture, recreation and sport",Ward 1,905,2021
Sales and service occupations,Ward 1,14940,2021
"Trades, transport and equipment operators and related occupations",Ward 1,11625,2021
"Natural resources, agriculture and related production occupations",Ward 1,435,2021
Occupations in manufacturing and utilities,Ward 1,5335,2021
All occupations,Ward 2,59325,2021
Management occupations,Ward 2,1370,2021
"Business, finance and administration occupations",Ward 2,12960,2021
Natural and applied sciences and related occupations,Ward 2,6060,2021
Health occupations,Ward 2,3995,2021
"Occupations in education, law and social, community and government services",Ward 2,7480,2021
"Occupations in art, culture, recreation and sport",Ward 2,2235,2021
Sales and service occupations,Ward 2,13810,2021
"Trades, transport and equipment operators and related occupations",Ward 2,9200,2021
"Natural resources, agriculture and related production occupations",Ward 2,425,2021
Occupations in manufacturing and utilities,Ward 2,1805,2021
All occupations,Ward 3,80455,2021
Management occupations,Ward 3,1670,2021
"Business, finance and administration occupations",Ward 3,18755,2021
Natural and applied sciences and related occupations,Ward 3,8920,2021
Health occupations,Ward 3,5270,2021
"Occupations in education, law and social, community and government services",Ward 3,9960,2021
"Occupations in art, culture, recreation and sport",Ward 3,4430,2021
Sales and service occupations,Ward 3,18150,2021
"Trades, transport and equipment operators and related occupations",Ward 3,10565,2021
"Natural resources, agriculture and related production occupations",Ward 3,480,2021
Occupations in manufacturing and utilities,Ward 3,2260,2021
All occupations,Ward 4,61115,2021
Management occupations,Ward 4,1430,2021
"Business, finance and administration occupations",Ward 4,12625,2021
Natural and applied sciences and related occupations,Ward 4,6490,2021
Health occupations,Ward 4,4085,2021
"Occupations in education, law and social, community and government services",Ward 4,9885,2021
