Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
03 106795 BLD,Non-Residential Building Permit,Mixed Use/Res w Non Res,New Building,123,REXDALE,BLVD, ,M9W,1027298.0,W0130,2003-02-06,2003-08-08,,Inspection,"New - Single Storey Building  (Shell Only) identified as  Building ""A"" on drawings.  Proposed uses retail and medical offices.      Ref; 03-101065  (Demo) & 03125024 ( fnd & framing to roof )CM Will Be  Asigned Shortly (As Per Tamer M.)",1685000,"123,REXDALE,BLVD   M9W",POINT (-79.565244 43.711384),14.0,Etobicoke North
03 107357 BLD,Residential Building Permit,Apartment Building,New Building,7,MICHAEL POWER,PL, ,M9A,20081831.0,W0321,2003-02-10,2004-04-28,,Inspection,To construct 2 new condominium towers. 7 Michael Power is 16 storeys in height (137 units) & 9 Michael Power is 8 to 12 storeys in height (149 units). Both buildings to be built on top of 3 storey underground parking garages. ,30000000,"7,MICHAEL POWER,PL   M9A",POINT (-79.529773 43.64437),15.0,Etobicoke-Lakeshore
03 107963 BLD,Residential Building Permit,SFD - Detached,New Building,12,KNIGHTSWOOD,RD, ,M4N,2360314.0,N1523,2003-02-12,2003-03-27,,Inspection,PROPOSED NEW  2 STOREY DWELLING AND NO DEMO.,838800,"12,KNIGHTSWOOD,RD   M4N",POINT (-79.39334 43.739414),11.0,Don Valley West
03 114016 BLD,Residential Building Permit,Apartment Building,New Building,354,WELLINGTON,ST,W,###,14663279.0,S1033,2003-03-11,2003-04-07,,Inspection,Partial permit to construct a new 7-storey condominium. This permit covers  all above grade structural works only.   In conjunction with B.P.#02-128376,6500000,"354,WELLINGTON,ST W ###",POINT (-79.393059 43.644547),24.0,Spadina-Fort York
03 120148 BLD,Residential Building Permit,Apartment Building,New Building,70,HIGH PARK,AVE, ,M6P,7994467.0,S0428,2003-04-01,2004-08-12,,Inspection,Build apartment building consisting of 169 dwelling units with 2 levels of underground parking.,20000000,"70,HIGH PARK,AVE   M6P",POINT (-79.466963 43.655994),13.0,Parkdale-High Park
03 120163 BLD,Residential Building Permit,Apartment Building,New Building,245,DALESFORD,RD, ,M8Y,995376.0,W0328,2003-04-01,2004-09-27,,Inspection,To construct new 6 storey residential (134 units ) condominium building with 2 storeys below grade. See foundation permit 03-120614 for holds and comments.C.M.= S.Toprak,14000000,"245,DALESFORD,RD   M8Y",POINT (-79.490618 43.626067),15.0,Etobicoke-Lakeshore
03 122035 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,25,GROSVENOR,ST, ,M7A,7762637.0,S1325,2003-04-08,2003-07-03,,Permit Issued,Make interior alterations to the 1st floor (lobby area). Hold for L.O.U. and G.R.C.C. for structural discipline.,1000000,"25,GROSVENOR,ST   M7A",POINT (-79.384791 43.662525),21.0,Toronto Centre
03 123670 BLD,Residential Building Permit,SFD - Detached,New Building,11,FOREST RIDGE,DR, ,M6B,805974.0,N0832,2003-04-14,2003-07-04,,Inspection,to construct a new 2 storey detached house.  See OMB decision.SURVEY APPROVED.,555000,"11,FOREST RIDGE,DR   M6B",POINT (-79.427958 43.705779),17.0,Eglinton-Lawrence
03 123812 BLD,Residential Building Permit,SFD - Detached,New Building,16,BARCLAY,RD, ,M3H,486530.0,N0629,2003-04-14,2003-04-25,,Inspection,New 2 storey single family dwelling and demo.,927740,"16,BARCLAY,RD   M3H",POINT (-79.437311 43.738423),1.0,York Centre
03 123819 BLD,Residential Building Permit,Apartment Building,New Building,32,KENASTON,GDNS, ,M2K,14254734.0,N1729,2003-04-14,2004-04-30,,Inspection,To construct one 28 storey residential building consisting of 351 dwelling units and two levels of underground parking.  A series of 2 and 3 storey townhouse dwellings totalling 49 dwelling units are also to be constructed.  Excavation/shoring permit no.: 03-123845.         Foundation permit no.:  03-123854.LEAD PERMIT - related superstructure permits:  #03-134555 block 2 townhouses and 03-134565 - Block 1 townhouses.,49128000,"32,KENASTON,GDNS   M2K",POINT (-79.385382 43.765164),18.0,Don Valley North
