Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
01 185413 BLD,Building Additions/Alterations,Parking Garage,Interior Alterations,20,THE QUEENSWAY, , ,M6R,8855505.0,S1404,2001-10-12,2001-11-08,2016-01-26,Closed,Demolish and reconstruct existing steel/concrete vehicle maintenance platform in existing TTC street car maintenance workshop.  Also replace existing sand storage box with new steel container on reinforced concrete foundation in YARD AREA of the TTC streetcar garage,1200000,"20,THE QUEENSWAY,    M6R",POINT (-79.448028 43.639437),13.0,Parkdale-High Park
04 167768 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,600-604,ROGERS,RD, ,M6M,14189823.0,W1209,2004-08-20,2004-11-09,2016-12-15,Closed,Conversion of existing ground floor commercial floor space into 7 apartment units to Senior Citizen - Non Profit Housing.,650000,"600-604,ROGERS,RD   M6M",POINT (-79.472849 43.682202),22.0,York South-Weston
06 176865 BLD,New Houses,SFD - Detached,New Building,12,THE BRIDLE,PATH, ,M2L,11541627.0,N2504,2006-09-19,2006-10-06,2016-10-07,Closed,Construct a new two storey single family dwelling,700000,"12,THE BRIDLE,PATH   M2L",POINT (-79.380299 43.739285),11.0,Don Valley West
07 132494 BLD,New Houses,Stacked Townhouses,New Building,651,WARDEN,AVE, ,M1L,395724.0,E3507,2007-03-30,2010-06-16,2016-09-21,Closed,to construct stacked townhouses Block E (12 units),2000000,"651,WARDEN,AVE   M1L",POINT (-79.276472 43.701708),5.0,Scarborough Southwest
07 244088 BLD,New Houses,SFD - Detached,New Building,514,VESTA,DR, ,M5P,878424.0,S2103,2007-07-17,2007-08-31,2016-01-11,Closed,"Proposal to construct a new 2 sty SFD.  See PAL 07 109336, Demo 07 244091, and C.O.A - A0202/07TEY.",1500000,"514,VESTA,DR   M5P",POINT (-79.420906 43.701265),12.0,Toronto-St. Paul's
07 266299 BLD,New Houses,SFD - Detached,New Building,84,KINGSWAY,CRES, ,M8X,10085801.0,W0503,2007-10-01,2007-11-19,2016-04-27,Closed,erect a new two storey dwelling as approved by c/o/a 533/06,600000,"84,KINGSWAY,CRES   M8X",POINT (-79.503256 43.658356),15.0,Etobicoke-Lakeshore
08 173856 B05,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING C NORTH (UNITS 41-50) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B07,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D SOUTH (UNITS 61-70) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B08,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-10-18,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D NORTH (UNITS 71-80) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B09,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E NORTH (UNITS 81-90) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B10,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E SOUTH (UNITS 91-100) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B11,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-09-20,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F SOUTH (UNITS 101-110) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B12,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-10-17,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F NORTH (UNITS 111-120) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 190187 BLD,New Building,Multiple Use/Non Residential,New Building,18,YORK,ST, ,###,14070028.0,S2017,2008-08-05,2010-04-06,2016-11-16,Closed,"Proposal to construct a 26 sty office building with 3 levels of below grade parking and a mech penthouse.  Ground floor to include retail and loading, 2nd floor contains mech and elec service rooms, floors 3-26 will contain office.  Also, enclosed pedestrian bridge over York St. to 25 York St..",190000000,"18,YORK,ST   ###",POINT (-79.382277 43.644124),24.0,Spadina-Fort York
08 212302 BLD,New Houses,SFD - Detached,New Building,92,FOREST HILL,RD, ,M4V,805825.0,S2206,2008-10-10,2009-01-14,2016-08-02,Closed,Demolish existing two storey dwelling and construct a new three storey SFD.,1000000,"92,FOREST HILL,RD   M4V",POINT (-79.40498 43.689927),12.0,Toronto-St. Paul's
09 109016 BLD,New Houses,SFD - Detached,New Building,19,PARKVIEW HILL,CRES, ,M4B,3897538.0,S3101,2009-02-12,2010-01-29,2016-04-08,Closed,permit to construct new sfd detached house - 2 stories - 408m2 - building includes partial sub basement - please see 07 109857 ZAL - 07 116288 MV - 07 229911 OA - 08 218026 STE SA - included with the building permit plans are shoring details provided by Peng,525000,"19,PARKVIEW HILL,CRES   M4B",POINT (-79.322508 43.70444),4.0,Beaches-East York
09 138906 BLD,New Building,Multiple Use/Non Residential,New Building,493,PARLIAMENT,ST, ,M4X,7640693.0,S2803,2009-05-15,2009-10-16,2016-06-16,Closed,Proposal to construct a 3 sty bank & office building.  See Demo 09 109577.  493 Parliament St & 252 B Carlton St.,1500000,"493,PARLIAMENT,ST   M4X",POINT (-79.367913 43.664687),21.0,Toronto Centre
09 194077 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,DUNDAS,ST,W,M5G,20040460.0,S2713,2009-12-04,2010-01-22,2016-01-26,Closed,"Proposed interior alterations to levels 1,2 and 4 of the Toronto Eaton Centre. Level 4 is not included in the scope of work.",5670000,"1,DUNDAS,ST W M5G",POINT (-79.381563 43.655911),21.0,Toronto Centre
09 199165 BLD,New Building,Mixed Use/Res w Non Res,New Building,4759-4789,YONGE,ST, ,M2N,9066026.0,N2306,2009-12-22,2013-08-19,2016-12-07,Closed,"Willowdale Plaza lands - Proposal to develop the site with office, retail commercial and residential uses.  The development proposes two towers of 35 and 44 storeys connected by a 5-storey podium with grade related retail.",82000000,"4759-4789,YONGE,ST   M2N",POINT (-79.410312 43.760361),2.0,Willowdale
10 120833 BLD,New Building,Multiple Use/Non Residential,New Building,3362,YONGE,ST, ,M4N,7793317.0,N1603,2010-02-19,2010-08-05,2016-10-27,Closed,Proposed three storey mixed use building with basement - Shoppers Drug Mart and 3rd storey office space,3800000,"3362,YONGE,ST   M4N",POINT (-79.404469 43.732223),17.0,Eglinton-Lawrence
10 139869 BLD,New Building,Mixed Use/Res w Non Res,New Building,121,MCMAHON,DR, ,###,30024497.0,N2406,2010-03-25,2012-09-06,2016-04-15,Closed,"1001-1019 SHEPPARD AVE E- BLOCK 14 - CONCORD PARK PLACE TANGO
31 storey apartment building containing 428 dwelling units including attached two and three storey units containing retail and including dwelling units each having access from an internal corridor system with four levels of underground parking - BLK 14 - Concord Park Place - TANGO",81000000,"121,MCMAHON,DR   ###",POINT (-79.370622 43.767722),18.0,Don Valley North
10 142571 BLD,New Building,Apartment Building,New Building,105,GEORGE,ST, ,M5A,20145513.0,S2807,2010-03-30,2015-08-07,2016-10-28,Closed,Proposal revised to construct a 22-storey residential condominium building containing 294 dwelling units  including a landscaped courtyard connected to the retained and restored heritage buildings at 252-258 Adelaide Street East. The below grade garage will contain 155 parking spaces [DBG],30000000,"105,GEORGE,ST   M5A",POINT (-79.370876 43.652222),21.0,Toronto Centre
10 147511 BLD,New Houses,SFD - Semi-Detached,New Building,146,WAVERLEY,RD, ,M4L,8237052.0,S3209,2010-04-08,2010-09-29,2016-11-02,Closed,"Proposal to construct a new three storey semi detached dwelling with detached two car garage at rear of building.  See PAL 09 176826, COA - A0720/09TEY, and demo.",650000,"146,WAVERLEY,RD   M4L",POINT (-79.301881 43.67153),4.0,Beaches-East York
10 194397 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,720,BATHURST,ST, ,M5S,6924859.0,S1903,2010-06-11,2010-06-30,2016-10-06,Closed,"Interior alterations to the ground, second and third floors of this building. The ground floor is a restauarnt, the second floor is a commercial school and the third floor is an office. This proposal includes HVAC and Plumbing.",1040000,"720,BATHURST,ST   M5S",POINT (-79.410796 43.663203),3.0,University-Rosedale
10 197078 BLD,New Houses,SFD - Detached,New Building,5,CARONPORT,CRES, ,M3A,496856.0,N3404,2010-06-15,2010-08-05,2016-10-03,Closed,Proposed 3 storey sfd,554190,"5,CARONPORT,CRES   M3A",POINT (-79.318844 43.744602),19.0,Don Valley East
10 230398 BLD,New Houses,SFD - Detached,New Building,9,ORRELL,AVE, ,M9A,1022651.0,W0404,2010-07-29,2010-08-30,2016-01-26,Closed,Proposed new two storey detached dwelling with attached garage.,900000,"9,ORRELL,AVE   M9A",POINT (-79.530341 43.656209),16.0,Etobicoke Centre
10 241329 BLD,New Building,Mixed Use/Res w Non Res,New Building,69,LYNN WILLIAMS,ST, ,M6K,14600147.0,S1908,2010-08-17,2011-12-23,2016-09-30,Closed,"Construction of two(2) new towers for 69 Lynn Williams Street(Block 5) and 150 East Liberty Street(Block 7). These two building will share a common below grade, 5 storey parking garage. 69 Lynn Williams Street(Block 5) will be a 15 storey residential condominium building with a mechanical penthouse. 150 East Liberty Street(Block 7) will be a 32 storey mixed use building with a mechanical penthouse and mezzanine level.   ",25000000,"69,LYNN WILLIAMS,ST   M6K",POINT (-79.415505 43.638794),24.0,Spadina-Fort York
10 260004 BLD,New Building,Apartment Building,New Building,388,YONGE,ST, ,###,20199887.0,S2711,2010-09-17,2011-12-23,2016-05-24,Closed,"PHASE 3 - UPPER TOWER (AURA AT COLLEGE PARK) - Proposal to construct floors 55-75 for new condo over podium 157 Dwelling units (SEE BLD 08 196702).  Note - see active BLD permit 08 117483, FSU 10 165868, PODIUM 08 196702), and PHASE 2 (LOWER TOWER).",150000000,"388,YONGE,ST   ###",POINT (-79.382617 43.65944),3.0,University-Rosedale
10 311680 BLD,New Houses,SFD - Detached,New Building,105,ARJAY,CRES, ,M2L,20142246.0,N2503,2010-12-09,2011-01-25,2016-03-21,Closed,Two storey sfd,737000,"105,ARJAY,CRES   M2L",POINT (-79.3837 43.739658),11.0,Don Valley West
10 315385 BLD,New Building,Mixed Use/Res w Non Res,New Building,560,KING,ST,W,M5V,10223994.0,S2014,2010-12-16,2013-05-02,2016-02-09,Closed,"Proposal to construct a 12 sty condo with 334 residential units, commercial on ground floor, and 4 levels of below grade parking.  ""Fashion House"". Two Towers; One facing King St West and other one facing Adelaide St West.",65000000,"560,KING,ST W M5V",POINT (-79.398974 43.64508),24.0,Spadina-Fort York
11 166726 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,DUNDAS,ST,W,M5G,20040460.0,S2713,2011-04-06,2011-04-29,2016-01-26,Closed,Proposal for interior aterations to the 4th floor of the Eaton's Centre (Galleria).  Scope of work includes new guardrails and flooring.,4100000,"1,DUNDAS,ST W M5G",POINT (-79.381563 43.655911),21.0,Toronto Centre
11 215309 BLD,Building Additions/Alterations,Multiple Unit Building,Interior Alterations,720,BATHURST,ST, ,M5S,6924859.0,S1903,2011-06-09,2011-07-06,2016-10-06,Closed,"Proposal for interior alterations to floors 1 to 3; existing restaurant with proposed office on 1st floor, commercial school to office on 2nd floor & existing office to remain on 3rd floor. ",1600000,"720,BATHURST,ST   M5S",POINT (-79.410796 43.663203),3.0,University-Rosedale
11 216050 BLD,New Building,Mixed Use/Res w Non Res,New Building,224,KING,ST,W,###,7929659.0,S2015,2011-06-10,2013-12-19,2016-11-23,Closed,"Permit to construct a new 47 storey mixed-use building comprised of  234 residential dwelling units,  644m2 of commercial space and 100 parking spaces including 4 car share spaces.",61000000,"224,KING,ST W ###",POINT (-79.387274 43.64738),24.0,Spadina-Fort York
11 220270 BLD,New Houses,SFD - Detached,New Building,21,LOWER LINKS,RD, ,M2P,538607.0,N2501,2011-06-16,2011-07-04,2016-05-23,Closed,Two storey dwelling with attached garage and finished basement,795000,"21,LOWER LINKS,RD   M2P",POINT (-79.400414 43.748792),11.0,Don Valley West
11 236661 BLD,New Building,Apartment Building,New Building,72,ESTHER SHINER,BLVD, ,###,30025680.0,N2406,2011-07-12,2013-10-25,2016-08-29,Closed,"1001-1009 SHEPPARD AVE E, CONCORD ADEX PARK PLACE, BLOCK 17
7 storey and 21 storey attached apartment building containing 257 dwelling units, with ground floor retail and 4 levels of underground parking",47060000,"72,ESTHER SHINER,BLVD   ###",POINT (-79.371485 43.768335),18.0,Don Valley North
11 240813 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,DUNDAS,ST,W,M5G,20040460.0,S2713,2011-07-19,2011-08-25,2016-01-26,Closed,"Proposal for interior alterations to second floor retail units in the Eaton's Centre.  Scope of work includes converting 4 units into 1 retail unit - ""Harry Rosen"".  Interior tenant fit up permit to be applied for at a later date.  Convenience address is 220 Yonge St.",800000,"1,DUNDAS,ST W M5G",POINT (-79.381563 43.655911),21.0,Toronto Centre
11 249770 BLD,New Building,Mixed Use/Res w Non Res,New Building,800,LAWRENCE,AVE,W,###,30032448.0,N1502,2011-08-02,2014-10-28,2016-06-14,Closed,"21 storey residential building with an 8 storey residential podium containing 435 dwelling units, ground floor mixed uses and four levels of underground parking",93100000,"800,LAWRENCE,AVE W ###",POINT (-79.453504 43.714502),17.0,Eglinton-Lawrence
11 258865 BLD,New Houses,SFD - Detached,New Building,57,STUART,AVE, ,M2N,566058.0,N2305,2011-08-17,2011-09-08,2016-07-29,Closed,Two storey dwelling with attached garage and finished basement,570000,"57,STUART,AVE   M2N",POINT (-79.417921 43.75344),2.0,Willowdale
11 265744 BLD,New Houses,SFD - Detached,New Building,2,DACRE,CRES, ,M6S,789390.0,W1310,2011-08-30,2012-01-25,2016-11-17,Closed,Proposed construction of a new (2) storey detached single family dwelling with an attached garage.,800000,"2,DACRE,CRES   M6S",POINT (-79.471888 43.648711),13.0,Parkdale-High Park
11 285855 BLD,New Houses,SFD - Detached,New Building,64,MONTRESSOR,DR, ,M2P,9942142.0,N2501,2011-10-03,2011-12-13,2016-08-17,Closed,Two storey dwelling with finished basement and attached garage,800000,"64,MONTRESSOR,DR   M2P",POINT (-79.392453 43.758708),11.0,Don Valley West
11 293926 BLD,New Building,Apartment Building,New Building,68,CANTERBURY,PL, ,###,30022220.0,N2302,2011-10-17,2013-01-21,2016-04-19,Closed,"18 storey apartment building with 209 suites, two levels of underground parking garages linked to 20 units of three storey townhouses
",48200000,"68,CANTERBURY,PL   ###",POINT (-79.415587 43.773804),2.0,Willowdale
11 303755 BLD,New Houses,SFD - Detached,New Building,172,HILLHURST,BLVD, ,M5N,527052.0,N1604,2011-11-02,2011-12-16,2016-03-18,Closed,Two storey dwelling with attached garage and finished basement,800000,"172,HILLHURST,BLVD   M5N",POINT (-79.419941 43.710592),17.0,Eglinton-Lawrence
11 317713 BLD,New Houses,SFD - Detached,New Building,53,DOUGLAS,CRES, ,M4W,7348864.0,S2901,2011-11-29,2012-01-26,2016-11-22,Closed,"Permit to construct new three storey single-family detached dwelling on the subject lands which are regulated by TRCA and Ravine Protection.  - See 11 167153 ZZC, 11 211679 MV for ZZC and C of A.
Please also note that 11 167134 STE 29 Sa for site plan approval which is open upon application of permit.",580000,"53,DOUGLAS,CRES   M4W",POINT (-79.365846 43.691743),3.0,University-Rosedale
11 327111 BLD,New Houses,SFD - Detached,New Building,219,JOHNSTON,AVE, ,M2N,531775.0,N2305,2011-12-16,2012-02-03,2016-02-10,Closed,Three Storey SFD.,525000,"219,JOHNSTON,AVE   M2N",POINT (-79.420749 43.756583),2.0,Willowdale
12 129679 BLD,New Building,Apartment Building,New Building,36,PARK LAWN,RD, ,M8Y,13297430.0,W0608,2012-02-29,2015-11-02,2016-11-16,Closed,Construction of 44 storey apartment building with 421 residential dwelling units plus 1 guest suite total 422 units.,88650000,"36,PARK LAWN,RD   M8Y",POINT (-79.484296 43.623509),15.0,Etobicoke-Lakeshore
12 129771 BLD,New Building,Multiple Use/Non Residential,New Building,36,PARK LAWN,RD, ,M8Y,13297430.0,W0608,2012-02-29,2014-09-26,2016-11-21,Closed,Construct new (2) storey commercial/office building,1120000,"36,PARK LAWN,RD   M8Y",POINT (-79.484296 43.623509),15.0,Etobicoke-Lakeshore
12 155716 BLD,New Houses,SFD - Detached,New Building,29,OLD YONGE,ST, ,M2P,20235230.0,N2503,2012-04-17,2012-07-05,2016-11-08,Closed,Two storey single family dwelling with attached garage,828688,"29,OLD YONGE,ST   M2P",POINT (-79.400706 43.742865),11.0,Don Valley West
12 160996 BLD,New Houses,SFD - Detached,New Building,300,RANEE,AVE, ,M6A,10386671.0,N1502,2012-04-25,2012-07-11,2016-07-29,Closed,Two storey single family dwelling with attached garage,650000,"300,RANEE,AVE   M6A",POINT (-79.451446 43.722913),17.0,Eglinton-Lawrence
12 162427 BLD,New Houses,SFD - Detached,New Building,441,ORIOLE,PKWY, ,M5P,849160.0,S2203,2012-04-27,2012-05-29,2016-10-06,Closed,Proposal to construct new three-storey single family detached dwelling with integral garage (504.9m2) and finished basement (181.9m2).  Also see CofA file 11-156279 and ZC file 10-303786.,800000,"441,ORIOLE,PKWY   M5P",POINT (-79.404643 43.702197),12.0,Toronto-St. Paul's
12 167700 BLD,New Houses,SFD - Detached,New Building,1,FULHAM,ST, ,M1S,336311.0,E4108,2012-05-07,2012-05-24,2016-02-03,Closed,construct a new two storey single family dwelling,639000,"1,FULHAM,ST   M1S",POINT (-79.267702 43.783444),7.0,Scarborough North
12 168092 BLD,New Houses,SFD - Detached,New Building,4,BURNCREST,DR, ,M5M,494167.0,N1602,2012-05-07,2012-05-25,2016-06-08,Closed,Two storey dwelling with attached garage.,600000,"4,BURNCREST,DR   M5M",POINT (-79.423792 43.738781),17.0,Eglinton-Lawrence
12 170167 BLD,New Building,Mixed Use/Res w Non Res,New Building,475,FRONT,ST,E,M5A,8708619.0,S2813,2012-05-09,2015-10-14,2016-10-14,Closed,"Proposal to construct 15 sty condo with 436 units, ground floor commercial, and 2 levels of below grade parking.  PAN-AM GAMES - BLOCK 4 - PHASE 2, WEST DON LANDS.",92000000,"475,FRONT,ST E M5A",POINT (-79.355254 43.652904),21.0,Toronto Centre
12 181194 BLD,New Houses,SFD - Detached,New Building,109,PITFIELD,RD, ,M1S,4341792.0,E4108,2012-05-28,2012-10-18,2016-04-05,Closed,"New single family dwellling, original house to be demolished",1200000,"109,PITFIELD,RD   M1S",POINT (-79.26755 43.783017),7.0,Scarborough North
12 189155 BLD,New Houses,SFD - Detached,New Building,15,KILLDEER,CRES, ,M4G,26777.0,N2601,2012-06-08,2012-09-04,2016-01-18,Closed,Two storey dwelling with attached garage at grade,600000,"15,KILLDEER,CRES   M4G",POINT (-79.364486 43.718766),11.0,Don Valley West
12 191929 BLD,New Houses,SFD - Detached,New Building,6,RENNIE,TER, ,M6S,857994.0,W1309,2012-06-13,2012-10-05,2016-08-24,Closed,Proposal to construct two storey single family dwelling with integral garage and deck,900000,"6,RENNIE,TER   M6S",POINT (-79.475081 43.644747),13.0,Parkdale-High Park
12 224761 BLD,New Houses,SFD - Detached,New Building,15,LICHEN,PL, ,M3A,8236915.0,N3404,2012-08-07,2012-11-14,2016-05-06,Closed,Two storey single family dwelling with integral gargae at grade and finished basement.,550000,"15,LICHEN,PL   M3A",POINT (-79.329751 43.756294),19.0,Don Valley East
12 233172 BLD,New Houses,SFD - Detached,New Building,233,ELMWOOD,AVE, ,M2N,512020.0,N2304,2012-08-21,2012-09-27,2016-11-29,Closed,Two storey dwelling with integral at grade two car garage and finished basement.,700000,"233,ELMWOOD,AVE   M2N",POINT (-79.397935 43.769533),2.0,Willowdale
12 233929 BLD,New Building,Apartment Building,New Building,2150,LAWRENCE,AVE,E,M1R,3497299.0,E3703,2012-08-22,2014-09-22,2016-07-08,Closed,construct a 19 storey condominium with 227 units,26000000,"2150,LAWRENCE,AVE E M1R",POINT (-79.286514 43.748056),9.0,Scarborough Centre
12 234865 BLD,New Houses,SFD - Detached,New Building,398,PRINCESS,AVE, ,M2N,553222.0,N2304,2012-08-23,2012-12-05,2016-02-10,Closed,Two storey dwelling with integral two car garage at grade.,775000,"398,PRINCESS,AVE   M2N",POINT (-79.390339 43.77356),2.0,Willowdale
12 247171 BLD,New Houses,SFD - Detached,New Building,1054,LILLIAN,ST, ,M2M,3252296.0,N2401,2012-09-14,2013-05-22,2016-01-25,Closed,Two storey detached dwelling with integral at grade garage and finished basement.,725000,"1054,LILLIAN,ST   M2M",POINT (-79.41122 43.797368),2.0,Willowdale
12 249832 BLD,New Houses,SFD - Detached,New Building,92,PRINCESS,AVE, ,M2N,553082.0,N2304,2012-09-19,2012-10-26,2016-11-18,Closed,2 storey dwelling with attached garage at grade,738144,"92,PRINCESS,AVE   M2N",POINT (-79.408367 43.769548),2.0,Willowdale
12 252339 BLD,New Houses,SFD - Detached,New Building,48,DOUGLAS,CRES, ,M4W,7337706.0,S2901,2012-09-24,2012-11-20,2016-07-08,Closed,"PROPOSAL TO CONSTRUCT NEW TWO STOREY DETATCHED DWELLING (345.79 m2)
SINGLE FAMILY DWELLING",600000,"48,DOUGLAS,CRES   M4W",POINT (-79.366324 43.691428),3.0,University-Rosedale
12 258625 BLD,New Houses,SFD - Detached,New Building,84,HEATHCOTE,AVE, ,M2L,9963260.0,N2502,2012-10-04,2012-12-24,2016-01-04,Closed,"Two storey single family dwelling with three car garage at grade, with finished basement",1000000,"84,HEATHCOTE,AVE   M2L",POINT (-79.374637 43.755038),11.0,Don Valley West
12 260361 BLD,New Building,Apartment Building,New Building,88,SHEPPARD,AVE,E,###,30028638.0,N2304,2012-10-10,2014-05-21,2016-08-22,Closed,"34 storey residential apartment building with green roofs above the two and four storey residential portions, 359 dwelling units, linked (mechanically and electrically) with 2 blocks of three storey residential townhouses containing a total of 16 dwelling units all above three levels of underground parking",75000000,"88,SHEPPARD,AVE E ###",POINT (-79.406986 43.763953),2.0,Willowdale
12 261952 BLD,New Houses,SFD - Detached,New Building,20,HEMFORD,CRES, ,M3B,526064.0,N2505,2012-10-12,2012-11-06,2016-10-04,Closed,Two storey single family dwelling with integral at grade garage and unfinished basement.,600000,"20,HEMFORD,CRES   M3B",POINT (-79.352383 43.740178),19.0,Don Valley East
12 268470 BLD,New Houses,SFD - Detached,New Building,18,DENEWOOD,CRES, ,M3B,506973.0,N2504,2012-10-25,2012-11-19,2016-11-07,Closed,Two storey dwelling with attached garage at grade,1600000,"18,DENEWOOD,CRES   M3B",POINT (-79.366395 43.7416),11.0,Don Valley West
12 281454 BLD,New Houses,SFD - Detached,New Building,34,EDGEVALLEY,DR, ,M9A,998588.0,W0406,2012-11-19,2013-02-13,2016-11-15,Closed,Proposal to construct new 2 storey detached sfd,900000,"34,EDGEVALLEY,DR   M9A",POINT (-79.517759 43.668636),16.0,Etobicoke Centre
12 283363 BLD,New Houses,SFD - Detached,New Building,30,BURNHAMTHORPE PARK,BLVD, ,M9A,10774915.0,W0502,2012-11-22,2012-12-12,2016-09-09,Closed,Construction of new 2 storey detached sfd with integral garage,600000,"30,BURNHAMTHORPE PARK,BLVD   M9A",POINT (-79.536354 43.651268),15.0,Etobicoke-Lakeshore
12 287485 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1130,BATHURST,ST, ,M5R,13319673.0,S2108,2012-11-30,2012-12-06,2016-03-15,Closed,Proposal for interior alterations to existing graphics/printing room in the basement of  TTC building.  Proposal to add vapour barrier and a new HVAC system.  Convenience address is 1138 Bathurst St.,800000,"1130,BATHURST,ST   M5R",POINT (-79.415525 43.675269),12.0,Toronto-St. Paul's
12 295020 BLD,New Houses,SFD - Detached,New Building,303,LAKE PROMENADE, , ,M8W,5729333.0,W0605,2012-12-17,2013-05-16,2016-05-31,Closed,Construct new (2) storey dwelling with attached garage.,2500000,"303,LAKE PROMENADE,    M8W",POINT (-79.535044 43.588609),15.0,Etobicoke-Lakeshore
12 296436 BLD,New Houses,SFD - Detached,New Building,350,JOICEY,BLVD, ,M5M,532058.0,N1602,2012-12-20,2014-06-12,2016-10-21,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,850000,"350,JOICEY,BLVD   M5M",POINT (-79.430665 43.734676),17.0,Eglinton-Lawrence
