Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Willowdale West/Newtonbrook West,,1204,1397,1564,1325,2016
Willowridge-Martingrove-Richview,,1107,1477,1652,1449,2016
Woburn,828,985,1118,1239,1092,2016
Woodbine Corridor/Greenwood-Coxwell,,,,,,2016
Woodbine-Lumsden,,1019,,,1094,2016
Wychwood,,1298,,,1236,2016
Yonge-Eglinton,1015,1290,1616,,1320,2016
Yonge-St. Clair,1030,1327,1773,,1566,2016
Yorkdale-Glen Park,,1019,1212,1349,1123,2016
Toronto,957,1132,1326,1525,1240,2016
Agincourt/Malvern,,,,1560,1320,2017
Ajax/Pickering,,969,1105,1313,1193,2017
Alderwood,,997,1361,,1288,2017
Aurora,,1200,1402,,1369,2017
Banbury-Don Mills/York Mills,734,1055,1161,1245,1090,2017
Bathurst Manor,845,1153,1312,1496,1290,2017
Bay Street Corridor,1498,1900,2782,,2112,2017
Bayview Village,,1370,1614,,1539,2017
Bayview Woods-Steeles/Hillcrest Village,,,,,,2017
Bedford Park-Nortown,848,1049,1355,,1198,2017
Beechborough-Greenbrook,740,937,1176,,1053,2017
Bendale,896,1067,1165,1325,1192,2017
Birchcliffe-Cliffside,914,1117,1358,,1225,2017
Black Creek,931,1023,1176,1397,1184,2017
Bradford/West Gwillimbury/New Tecumseth,876,938,1127,,1057,2017
Brampton (East),,1237,1358,1458,1340,2017
Brampton (West),834,1059,1219,1421,1183,2017
Briar Hill-Belgravia,762,1024,1301,,1130,2017
Broadview North,892,1155,1375,1427,1199,2017
Bronte,,1339,1540,,1471,2017
Brookhaven-Amesbury,818,1020,1219,1446,1180,2017
Cabbagetown-South St. James Town,1021,1448,1813,,1466,2017
Caledon,,,,,,2017
Caledonia-Fairbank,843,1000,1224,,1087,2017
Casa Loma,1031,1419,2075,3187,1821,2017
Churchill Meadows/Erin Mills,978,1084,1249,1759,1391,2017
Church-Yonge Corridor,1171,1486,1947,,1489,2017
Clairlea-Birchmount,880,961,1180,,1036,2017
Clanton Park,885,1078,1252,,1140,2017
Clarkson/Lorne Park,905,1147,1282,1349,1237,2017
Cliffcrest,,1057,1183,1325,1146,2017
Cooksville,925,1086,1257,1412,1183,2017
Crescent Town,832,1037,1264,1487,1129,2017
Danforth Village-East York,822,1010,1199,,1059,2017
Don Valley Village/Pleasant View,910,1214,1359,1560,1368,2017
Dorset Park,883,989,1152,1373,1124,2017
Dovercourt/Davenport/Junction,1074,1216,1357,,1262,2017
Downsview,798,997,1169,1368,1124,2017
Dufferin Grove/Little Portugal,813,1184,,,1161,2017
East End-Danforth,940,1033,1230,,1141,2017
East Gwillimbury/Newmarket,763,1155,1260,,1192,2017
Edenbridge-Humber Valley,,1041,1253,,1218,2017
Eglinton East,914,984,1136,1399,1127,2017
Elms-Old Rexdale,,,1257,1441,1281,2017
Englemount-Lawrence,905,1059,1249,1629,1217,2017
Eringate-Centennial-West Deane,,,1203,,1212,2017
Etobicoke West Mall,,1081,1317,1471,1298,2017
Flemingdon Park,,1038,1236,1403,1169,2017
Forest Hill North,958,1190,1541,2008,1356,2017
Forest Hill South,970,1168,1577,,1264,2017
Georgina,,798,1001,,958,2017
Guildwood,,,,,,2017
Henry Farm,,1257,1429,1635,1417,2017
High Park North/Junction,1064,1388,1808,2552,1504,2017
High Park-Swansea,,1161,1390,,1224,2017
Humber Heights-Westmount,,1239,1369,1514,1353,2017
Humewood-Cedarvale,941,1343,2091,2956,1593,2017
Ionview,935,1044,1192,1456,1131,2017
Islington/City Centre North,1223,1261,1428,1506,1359,2017
Islington/City Centre South,1023,,1341,,1251,2017
Keelesdale-Eglinton West,773,897,1046,,930,2017
Kennedy Park,709,961,1095,1251,1046,2017
Kensington-Chinatown,,,,,,2017
Kingsview Village-The Westway,1107,1140,1317,1529,1299,2017
Kingsway South,,,,,,2017
Lambton Baby Point,773,1059,,,1290,2017
L'Amoreaux/Steeles/Milliken,,1078,1258,1412,1193,2017
Lansing-Westgate,872,1337,1537,1616,1452,2017
Lawrence Park North,1098,1318,1702,,1459,2017
Lawrence Park South,996,1291,1762,,1393,2017
Leaside-Bennington,897,1180,1593,,1324,2017
Little Italy/Trinity-Bellwoods,852,,1487,,1350,2017
Long Branch,,941,1075,,997,2017
Malton,,864,1116,,1083,2017
Maple Leaf,,1092,1263,,1213,2017
Markham,,1234,1394,1544,1339,2017
Meadowvale,,1294,1527,1635,1466,2017
Milton/Halton Hills,700,1036,1202,1594,1139,2017
Mimico,837,1075,1320,1595,1113,2017
Mississauga Centre/Streetsville,899,1189,1373,1614,1347,2017
Moore Park,,1497,2025,,1737,2017
Morningside,,1022,1085,1344,1083,2017
Moss Park/Regent Park,878,1122,1552,,1248,2017
Mount Dennis,,1123,1243,,1201,2017
Mount Olive-Silverstone-Jamestown/Thistletown,,1112,1352,1467,1371,2017
Mount Pleasant East,1012,1378,1894,2007,1502,2017
Mount Pleasant West,1100,1377,1762,2097,1428,2017
New Toronto,801,821,1045,,888,2017
North St. James Town,1041,1269,1390,,1262,2017
Oakridge,,,,,,2017
Oakville (excl. Bronte),980,1238,1434,1761,1411,2017
Oakwood-Vaughan,802,1034,1186,,1072,2017
O'Connor-Parkview,762,997,1226,1449,1144,2017
Old East York,713,1065,1269,,1135,2017
Orangeville/Mono,,1078,1190,1152,1131,2017
Parkwoods-Donalda,937,1225,1473,1638,1444,2017
Playter Estates-Danforth,930,1189,1536,,1228,2017
Port Credit,915,1104,1255,1551,1193,2017
Princess-Rosethorn,,,,,,2017
Rexdale-Kipling,,887,1028,1180,1041,2017
Richmond Hill/Vaughan/King,939,1153,1388,1631,1290,2017
Riverdale,,,2027,,1801,2017
Rockcliffe-Smythe,806,977,1174,1201,1079,2017
Roncesvalles,,,,,923,2017
Rosedale,,1491,1807,,1567,2017
Rouge,,,1135,1265,1141,2017
Rustic/Pelmo Park/Humberlea,,1022,1177,,1127,2017
Scarborough Village,,1089,1193,1320,1189,2017
South Parkdale/King West,850,1044,1248,,1034,2017
St. Andrew-Windfields,889,1206,1428,1852,1447,2017
Stonegate-Queensway,896,1051,1160,,1107,2017
Tam O'Shanter-Sullivan,885,1063,1212,1416,1174,2017
The Beaches,880,1176,1472,,1209,2017
Thorncliffe Park,915,1101,1430,1786,1314,2017
University/Annex,1076,1353,1957,,1484,2017
Uxbridge,,1086,1355,1302,1227,2017
Victoria Village,874,1076,1281,1542,1178,2017
Waterfront Communities -The Island,,1883,2805,,2276,2017
West Hill,,1027,1202,1378,1213,2017
West Humber-Clairville,815,1038,1153,,1169,2017
Westminster-Branson,943,1177,1392,1563,1359,2017
