Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt/Malvern,**,,"1,268",b ,"1,435",b ,"1,729",b ,"1,485",b 
Ajax/Pickering,**,,965,a ,"1,302",b ,"1,563",a ,"1,394",a 
Alderwood,**,,**,,"1,536",c ,**,,"1,505",d 
Aurora,**,,"1,326",a ,"1,668",a ,**,,"1,586",b 
Banbury-Don Mills/York Mills,874,c ,"1,404",a ,"1,655",a ,"1,969",a ,"1,578",a 
Bathurst Manor,**,,"1,341",a ,"1,520",a ,"1,607",a ,"1,475",a 
Bay Street Corridor,"1,650",a ,"2,182",a ,"3,327",a ,"5,212",a ,"2,500",a 
Bayview Village,**,,"1,530",a ,"1,856",a ,**,,"1,855",a 
Bayview Woods-Steeles/Hillcrest Village,**,,"1,900",b ,"2,360",c ,"2,775",d ,"2,388",c 
Bedford Park-Nortown,983,b ,"1,246",b ,"1,643",b ,"2,081",c ,"1,413",b 
Beechborough-Greenbrook,**,,"1,066",b ,"1,128",a ,**,,"1,098",a 
Bendale,**,,"1,141",a ,"1,241",a ,"1,317",b ,"1,249",a 
Birchcliffe-Cliffside,**,,"1,466",b ,"1,676",b ,**,,"1,567",b 
Black Creek,"1,018",c ,"1,178",a ,"1,422",a ,"1,562",a ,"1,384",a 
Bradford/West Gwillimbury/New Tecumseth,"1,083",b ,"1,027",a ,"1,274",a ,**,,"1,190",a 
Brampton (East),"1,237",a ,"1,501",a ,"1,654",a ,"1,741",a ,"1,616",a 
Brampton (West),872,a ,"1,309",a ,"1,494",a ,"1,721",c ,"1,431",a 
Briar Hill-Belgravia,"1,021",c ,"1,317",a ,"1,506",b ,"1,968",a ,"1,447",b 
Broadview North,"1,071",b ,"1,338",a ,"1,584",a ,"2,359",a ,"1,385",a 
Bronte,**,,"1,569",a ,"1,807",a ,"2,009",c ,"1,720",a 
Brookhaven-Amesbury,"1,071",b ,"1,248",a ,"1,484",b ,"1,981",c ,"1,426",b 
Cabbagetown-South St. James Town,"1,184",a ,"1,458",a ,"1,832",d ,**,,"1,474",b 
Caledon,**,,**,,**,,**,,**,
Caledonia-Fairbank,**,,"1,203",c ,"1,389",d ,**,,"1,279",c 
Casa Loma,"1,254",b ,"1,773",c ,"2,352",d ,**,,"2,102",d 
Churchill Meadows/Erin Mills,"1,258",b ,"1,514",b ,"1,594",b ,"1,944",a ,"1,681",a 
Church-Yonge Corridor,"1,375",b ,"1,648",a ,"2,118",b ,**,,"1,670",a 
