Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt/Malvern,**,,"1,105",b ,"1,316",a ,"1,569",a ,"1,341",a 
Ajax/Pickering,**,,953,a ,"1,248",a ,"1,397",a ,"1,283",a 
Alderwood,**,,"1,169",c ,"1,462",c ,**,,"1,435",c 
Aurora,**,,"1,127",a ,"1,347",a ,**,,"1,298",b 
Banbury-Don Mills/York Mills,**,,"1,163",a ,"1,335",b ,"1,643",c ,"1,286",b 
Bathurst Manor,**,,"1,216",a ,"1,346",a ,"1,567",a ,"1,342",a 
Bay Street Corridor,"1,615",a ,"2,013",a ,"3,114",d ,**,,"2,301",b 
Bayview Village,"1,072",a ,"1,381",a ,"1,671",a ,**,,"1,666",a 
Bayview Woods-Steeles/Hillcrest Village,**,,"1,389",a ,"1,609",b ,"1,690",a ,"1,580",a 
Bedford Park-Nortown,947,a ,"1,125",a ,"1,459",a ,"1,912",c ,"1,277",a 
Beechborough-Greenbrook,875,b ,"1,022",b ,"1,137",b ,**,,"1,081",b 
Bendale,"1,032",b ,"1,070",a ,"1,173",a ,"1,362",b ,"1,217",a 
Birchcliffe-Cliffside,943,a ,"1,193",b ,"1,424",b ,**,,"1,301",a 
Black Creek,"1,108",b ,"1,145",a ,"1,293",a ,"1,449",a ,"1,284",a 
Bradford/West Gwillimbury/New Tecumseth,951,c ,977,a ,"1,181",a ,"1,436",b ,"1,127",a 
Brampton (East),893,a ,"1,240",a ,"1,398",a ,"1,498",a ,"1,359",a 
Brampton (West),818,b ,"1,111",a ,"1,279",a ,"1,577",b ,"1,244",a 
Briar Hill-Belgravia,864,c ,"1,138",b ,"1,367",c ,**,,"1,238",c 
Broadview North,993,a ,"1,205",a ,"1,424",a ,"1,714",c ,"1,243",a 
Bronte,**,,"1,356",a ,"1,580",a ,"1,832",c ,"1,503",a 
Brookhaven-Amesbury,870,c ,"1,062",a ,"1,271",a ,"1,515",a ,"1,207",a 
Cabbagetown-South St. James Town,995,b ,"1,397",b ,"1,885",b ,**,,"1,419",b 
Caledon,**,,**,,**,,**,,**,
Caledonia-Fairbank,882,c ,"1,071",b ,"1,389",c ,**,,"1,197",c 
Casa Loma,"1,181",b ,"1,486",b ,"2,096",d ,"3,284",d ,"1,838",c 
Churchill Meadows/Erin Mills,887,c ,"1,121",a ,"1,285",b ,"1,774",a ,"1,451",b 
Church-Yonge Corridor,"1,280",a ,"1,597",a ,"2,086",a ,**,,"1,617",a 
Clairlea-Birchmount,955,a ,"1,056",a ,"1,284",b ,"1,517",b ,"1,144",a 
Clanton Park,867,b ,"1,080",a ,"1,296",b ,**,,"1,172",b 
Clarkson/Lorne Park,980,a ,"1,212",a ,"1,304",a ,"1,369",a ,"1,275",a 
Cliffcrest,**,,"1,160",a ,"1,265",a ,"1,424",b ,"1,238",a 
Cooksville,869,b ,"1,225",a ,"1,414",a ,"1,611",b ,"1,329",a 
Crescent Town,878,a ,"1,096",a ,"1,341",a ,"1,558",a ,"1,179",a 
Danforth Village-East York,805,b ,"1,080",b ,"1,248",b ,**,,"1,126",b 
Don Valley Village/Pleasant View,988,a ,"1,219",a ,"1,384",a ,"1,590",a ,"1,392",a 
Dorset Park,889,c ,"1,015",a ,"1,139",a ,"1,367",b ,"1,131",a 
Dovercourt/Davenport/Junction,**,,"1,024",d ,"1,312",b ,**,,"1,196",c 
Downsview,876,a ,"1,079",a ,"1,266",a ,"1,459",a ,"1,212",a 
Dufferin Grove/Little Portugal,888,d ,"1,239",d ,**,,**,,"1,192",d 
East End-Danforth,988,a ,"1,503",b ,"1,738",b ,**,,"1,553",b 
